Fecha,Hora,Bosque,"Transecto (1,2,3)",Planta,Polinizador,sexo,capturado?,Codigo_frasco,Observaciones,Ronda,Codigo_Final,Latitude,Longitude
11/04/22,10:57:00,1,1,Bellis perennis,,,si,1,20 km/h,1,,,
11/04/22,11:19:00,1,1,Bellis perennis,?=1,,no,,sol,1,,,
11/04/22,13:58:00,1,2,Bellis perennis,?=1,,no,,Tª: 15ºC aprox.,1,,,
11/04/22,13:55:00,1,2,Taraxacum officinale,Bombus pascuorum,,no,,,1,,,
11/04/22,15:34:00,1,3,Taraxacum officinale,?=1,,no,,,1,,,
11/04/22,15:50:00,1,3,Potentilla sterilis,,,si,2,,1,,,
11/04/22,16:07:00,1,3,Taraxacum officinale,Bombus pascuorum,,no,,,1,,,
11/04/22,16:10:00,1,3,Bellis perennis,?=1,,no,,,1,,,
11/04/22,16:16:00,1,3,Bellis perennis,?=1,,no,,,1,,,
12/04/22,11:40:00,2,1,Helleborus viridis,Bombus terrestris,,no,,reina,1,,,
12/04/22,13:23:00,2,2,Potentilla sterilis,Apis mellifera,,no,,"sol, poco viento",1,,,
12/04/22,13:46:00,2,2,Potentilla sterilis,Bombus terrestris,,no,,reina,1,,,
12/04/22,14:04:00,2,2,Helleborus viridis,Apis mellifera,,no,,,1,,,
12/04/22,14:06:00,2,2,Ranunculus ficaria,,,si,3,,1,,,
12/04/22,15:18:00,2,3,Helleborus viridis,Bombus terrestris,,no,,,1,,,
12/04/22,15:22:00,2,3,Helleborus viridis,Apis mellifera,,no,,,1,,,
12/04/22,15:26:00,2,3,Bellis perennis,?=3,,no,,,1,,,
12/04/22,15:47:00,2,3,Hepatica nobilis,Bombus terrestris,,no,,reina,1,,,
12/04/22,15:50:00,2,3,Helleborus viridis,Bombus terrestris,,no,,reina,1,,,
12/04/22,16:00:00,2,3,Bellis perennis,?=3,,no,,,1,,,
13/04/22,11:10:00,4,1,Bellis perennis,?=3,,no,,"sol, poco viento",1,,,
13/04/22,11:14:00,4,1,Taraxacum officinale,?=3,,no,,Tª: 10ºC aprox.,1,,,
13/04/22,11:22:00,4,1,Taraxacum officinale,?=3,,no,,,1,,,
13/04/22,11:35:00,4,1,Bellis perennis,,,si,4,,1,,,
13/04/22,11:39:00,4,1,Bellis perennis,?=3,,no,,,1,,,
13/04/22,11:42:00,4,1,Taraxacum officinale,?=3,,no,,,1,,,
13/04/22,13:18:00,4,2,Taraxacum officinale,?=4,,no,,,1,,,
13/04/22,13:36:00,4,2,Taraxacum officinale,?=4,,no,,,1,,,
13/04/22,15:37:00,4,3,Bellis perennis,?=3,,no,,,1,,,
13/04/22,15:58:00,4,3,Bellis perennis,?=3,,no,,,1,,,
13/04/22,16:01:00,4,3,Bellis perennis,?=3,,no,,,1,,,
22/04/22,10:50:00,5,1,Pedicularis sylvatica,,,si,5,"Sol, nublado, fresco",1,,,
25/04/22,11:01:00,3,1,Helleborus viridis,Bombus pascuorum,,no,,"Sol, no hay viento",1,,,
25/04/22,11:20:00,3,1,Scilla verna,?=6,,no,,,1,,,
25/04/22,11:30:00,3,1,Scilla verna,,,si,7,,1,,,
25/04/22,11:33:00,3,1,Lathyrus linifolius,,,si,8,,1,,,
25/04/22,11:36:00,3,1,Scilla verna,?=7,,no,,,1,,,
25/04/22,11:38:00,3,1,Scilla verna,?=10,,no,,,1,,,
25/04/22,13:00:00,3,2,Lathyrus linifolius,?=8,,no,,,1,,,
25/04/22,13:03:00,3,2,Lathyrus linifolius,?=8,,no,,,1,,,
25/04/22,13:10:00,3,2,Scilla verna,?=9,,no,,,1,,,
25/04/22,13:17:00,3,2,Scilla verna,,,si,9,,1,,,
25/04/22,13:43:00,3,2,Scilla verna,?=10,,no,,,1,,,
25/04/22,13:48:00,3,2,Scilla verna,,,si,10,,1,,,
25/04/22,13:51:00,3,2,Scilla verna,?=13,,no,,,1,,,
25/04/22,13:53:00,3,2,Lathyrus linifolius,?=8,,no,,,1,,,
25/04/22,13:55:00,3,2,Scilla verna,,,si,11,,1,,,
25/04/22,13:58:00,3,2,Scilla verna,Bombus pascuorum,,no,,,1,,,
