Fecha,Bosque,código bosque,Ronda,Especie planta,Numero flores,Individuos o escapos,observaciones
09.03.2021,Pinar Aznalcazar,A,1,Anemone palmata,2,2,
09.03.2021,Pinar Aznalcazar,A,1,Aristolochia baetica,2,1,
09.03.2021,Pinar Aznalcazar,A,1,Cistus salviifolius,100,27,
09.03.2021,Pinar Aznalcazar,A,1,Lavandula stoechas,2455,6,
09.03.2021,Pinar Aznalcazar,A,1,Rosmarinus officinalis,5145,16,
02.03.2021,Pinar Hinojos,H,1,Cerinthe major,6,2,
02.03.2021,Pinar Hinojos,H,1,Halimium calycinum,521,35,
02.03.2021,Pinar Hinojos,H,1,Retama sphaerocarpa,93,4,
02.03.2021,Pinar Hinojos,H,1,Ulex australis,3200,16,
11.03.2021,Pinar Hinojos,H,2,Brassica barrelieri,18,3,
11.03.2021,Pinar Hinojos,H,2,Cerinthe major,18,4,
11.03.2021,Pinar Hinojos,H,2,Erodium aethiopicam,73,73,
11.03.2021,Pinar Hinojos,H,2,Halimium calycinum,668,42,
11.03.2021,Pinar Hinojos,H,2,Oxalis pes-caprae,6,6,
11.03.2021,Pinar Hinojos,H,2,Retama sphaerocarpa,8998,36,
11.03.2021,Pinar Hinojos,H,2,Silene colorata,7,7,
11.03.2021,Pinar Hinojos,H,2,Tuberaria guttata,4,4,
11.03.2021,Pinar Hinojos,H,2,Ulex australis,525,14,
19.03.2021,Pinar Hinojos,H,3,Brassica barrelieri,8,2,
19.03.2021,Pinar Hinojos,H,3,Cerinthe major,64,18,
19.03.2021,Pinar Hinojos,H,3,Cistus salviifolius,96,7,
19.03.2021,Pinar Hinojos,H,3,Erodium aethiopicam,113,113,
19.03.2021,Pinar Hinojos,H,3,Fritillaria lusitanica,2,2,
19.03.2021,Pinar Hinojos,H,3,Halimium calycinum,874,66,
19.03.2021,Pinar Hinojos,H,3,Oxalis pes-caprae,3,3,
19.03.2021,Pinar Hinojos,H,3,Retama sphaerocarpa,2923,34,
19.03.2021,Pinar Hinojos,H,3,Ulex australis,162,9,
31.03.2021,Pinar Hinojos,H,4,Aetheorhiza bulbosa,33,33,
31.03.2021,Pinar Hinojos,H,4,Anemone palmata,8,8,
31.03.2021,Pinar Hinojos,H,4,Arctotheca calendula,3,3,
31.03.2021,Pinar Hinojos,H,4,Cerinthe major,79,7,
