Fecha,Bosque,Especie planta,Numero flores,Individuos o escapos,
23/04/20,1,Helleborus viridis subsp. occidentalis,393,,"numero flores: cuento las disponibles, vamos abiertas"
23/04/20,1,Primula veris,8,,
23/04/20,1,Taraxacum sp.,747,,
23/04/20,1,Bellis perennis,2993,,
23/04/20,1,Pinguicula grandiflora subsp. grandiflora,17,,
23/04/20,1,Ranunculus sp.,13,,
23/04/20,1,Compuesta blanca,,85,
23/04/20,1,Viola sp. riviniana,296,,
23/04/20,1,Scilla verna,15,,
23/04/20,1,Veronica sp.,49,,
28/04/20,5,Scilla verna,1496,,
28/04/20,5,Pinguicula grandiflora subsp. grandiflora,2,,
28/04/20,5,Pedicularis sylvatica subsp. sylvatica,169,,
28/04/20,5,Polygala vulgaris,74,,
28/04/20,5,Erytronium dens-canis,1,,
28/04/20,5,Potentilla erecta,96,,
28/04/20,5,Taraxacum sp.,3,,
28/04/20,5,Bellis perennis,3,,
28/04/20,5,Ranunculus sp.,2,,
28/04/20,5,Vaccinium,28,,
29/04/20,2,Taraxacum sp.,723,,
29/04/20,2,Bellis perennis,3168,,
29/04/20,2,Viola sp.,61,,
29/04/20,2,Cardamine pratensis,1,,
29/04/20,2,Polygala vulgaris,4,,
29/04/20,2,Ranunculus sp.,1,,
29/04/20,2,Veronica sp.,8,,
29/04/20,2,Hepatica nobilis,4,,
29/04/20,1,Ranunculus sp.,16,,
29/04/20,1,Viola sp.,101,,
29/04/20,1,Veronica persica,70,,
29/04/20,1,Taraxacum sp.,833,,
29/04/20,1,Pinguicula grandiflora subsp. grandiflora,22,,
29/04/20,1,Bellis perennis,5459,,
29/04/20,1,Scilla verna,66,,
29/04/20,1,Helleborus viridis subsp. occidentalis,4,,
29/04/20,1,Blanca compuesta???,,65,
03/05/20,3,Polygala vulgaris,208,,
03/05/20,3,Ranunculus sp.,183,,
03/05/20,3,Scilla verna,11,,
03/05/20,3,Bellis perennis,643,,
03/05/20,3,Potentilla erecta,86,,
03/05/20,3,Potentilla montana,250,,
03/05/20,3,Vicia pyrenaica,32,,
03/05/20,3,Taraxacum sp.,7,,
03/05/20,3,Viola sp.,5,,
03/05/20,3,Lotus cornicularis,11,,
