Fecha,Bosque,Especie planta,Numero flores
07/04/21,1,Helleborus viridis,109
07/04/21,1,Ranunculus ficaria,5
07/04/21,1,Viola riviniana,13
07/04/21,1,Primula elatior,18
07/04/21,1,Primula veris,6
07/04/21,1,Bellis perennis,136
07/04/21,1,Hepatica nobilis,13
07/04/21,1,Taraxacum sp.,8
07/04/21,1,Potentilla montana,1
08/04/21,2,Hepatica nobilis,29
08/04/21,2,Anemone nemorosa,3
08/04/21,2,Bellis perennis,667
08/04/21,2,Taraxacum sp.,19
08/04/21,2,Potentilla esterilis,13
08/04/21,2,Helleborus viridis,6
08/04/21,2,Viola riviniana,14
08/04/21,2,Ranunculus ficaria,20
08/04/21,2,Oxalis acetosella,2
09/04/21,5,Scilla verna,22
09/04/21,5,Anemone nemorosa,1
09/04/21,5,Viola riviniana,4
09/04/21,5,Bellis perennis,1
13/04/21,3,Scilla verna,410
13/04/21,3,Taraxacum sp.,3
13/04/21,3,Potentilla montana,206
13/04/21,3,Hepatica nobilis,3
13/04/21,3,Lathyrus linifolius,62
13/04/21,3,Viola riviniana,58
13/04/21,3,Polygala vulgaris,413
13/04/21,3,Anemone nemorosa,1
13/04/21,3,Potentilla erecta,18
13/04/21,3,Bellis perennis,373
13/04/21,3,Pedicularis sylvatica subsp. sylvatica,3
14/04/21,1,Taraxacum sp.,122
14/04/21,1,Viola riviniana,75
14/04/21,1,Hepatica nobilis,9
14/04/21,1,Ranunculus ficaria,45
14/04/21,1,Potentilla sterilis,20
14/04/21,1,Ranunculus repens,2
14/04/21,1,Primula elatior,17
14/04/21,1,Primula veris,16
14/04/21,1,Helleborus viridis,104
14/04/21,1,Bellis perennis,534
14/04/21,1,Hutchinsia alpina,78
15/04/21,2,Viola riviniana,39
15/04/21,2,Taraxacum sp.,56
15/04/21,2,Bellis perennis,353
15/04/21,2,Potentilla sterilis,56
15/04/21,2,Hepatica nobilis,41
15/04/21,2,Ranunculus ficaria,15
15/04/21,2,Anemone nemorosa,3
15/04/21,2,Helleborus viridis,6
16/04/21,3,Lathyrus linifolius,72
16/04/21,3,Pedicularis sylvatica subsp. sylvatica,12
16/04/21,3,Viola riviniana,30
16/04/21,3,Bellis perennis,291
16/04/21,3,Taraxacum sp.,5
16/04/21,3,Polygala vulgaris,443
16/04/21,3,Potentilla montana,232
16/04/21,3,Potentilla erecta,47
16/04/21,3,Genista hispanica,29
16/04/21,3,Scilla verna,327
16/04/21,3,Anemone nemorosa,1
21/04/21,5,Anemone nemorosa,1
21/04/21,5,Pedicularis sylvatica subsp. sylvatica,37
21/04/21,5,Taraxacum sp.,4
21/04/21,5,Scilla verna,587
21/04/21,5,Carex sp.,21
21/04/21,5,Ranunculus repens,2
21/04/21,5,Viola riviniana,4
21/04/21,5,Bellis perennis,4
21/04/21,5,Potentilla erecta,5
22/04/21,4,Polygala vulgaris,65
22/04/21,4,Potentilla erecta,2
22/04/21,4,Viola riviniana,26
22/04/21,4,Scilla verna,29
22/04/21,4,Taraxacum sp.,37
22/04/21,4,Lathyrus linifolius,7
22/04/21,4,Bellis perennis,244
22/04/21,4,Carex sp.,7
22/04/21,4,Vaccinium myrtillus,15
23/04/21,2,Taraxacum sp.,373
23/04/21,2,Hepatica nobilis,19
23/04/21,2,Anemone nemorosa,1
23/04/21,2,Bellis perennis,2630
23/04/21,2,Potentilla sterilis,29
23/04/21,2,Viola riviniana,94
23/04/21,2,Ranunculus ficaria,24
23/04/21,2,Ranunculus repens,3
23/04/21,2,Hutchinsia alpina,21
23/04/21,2,Oxalis acetosella,8
24/04/21,1,Bellis perennis,1347
24/04/21,1,Taraxacum sp.,142
24/04/21,1,Hutchinsia alpina,124
24/04/21,1,Viola riviniana,224
24/04/21,1,Oxalis acetosella,3
24/04/21,1,Hepatica nobilis,21
24/04/21,1,Primula veris,21
24/04/21,1,Primula elatior,16
