"","X","Fecha","Hora","Bosque","Transecto","Planta","Polinizador","sexo","capturado","Codigo","Observaciones","Fecha2","b","Pollinator_id","Pollinator_genus","Pollinator_sps","Pollinator_family","Periodo","julian","Year","Site"
"1",1,"08/04/21","13:30:00","2",2,"Anemone nemorosa","","","si",1,"","2021-04-08","2021-04-08 1","Sphaerophoria sp","Sphaerophoria","sp","Syrphidae",1,97,2021,"Gorbea"
"2",2,"08/04/21","13:30:00","2",2,"Potentilla montana","?=C1","","no",NA,"Andrena cf morio","2021-04-08","2021-04-08 NA","Andrena cineraria","Andrena","cineraria","Andrenidae",1,97,2021,"Gorbea"
"3",3,"08/04/21","13:30:00","2",2,"Bellis perennis","?=2","","no",NA,"foto","2021-04-08","2021-04-08 NA","Diptera","Diptera","","Diptera",1,97,2021,"Gorbea"
"4",4,"08/04/21","13:30:00","2",2,"Potentilla montana","?=C1","","no",NA,"Andrena cf morio","2021-04-08","2021-04-08 NA","Andrena cineraria","Andrena","cineraria","Andrenidae",1,97,2021,"Gorbea"
"5",5,"08/04/21","13:30:00","2",2,"Bellis perennis","Eristalis sp.","","no",NA,"","2021-04-08","2021-04-08 NA","Eristalis sp.","Eristalis","sp.","Syrphidae",1,97,2021,"Gorbea"
"6",6,"08/04/21","13:30:00","2",2,"Bellis perennis","Eristalis sp.","","no",NA,"","2021-04-08","2021-04-08 NA","Eristalis sp.","Eristalis","sp.","Syrphidae",1,97,2021,"Gorbea"
"7",7,"08/04/21","13:30:00","2",2,"Potentilla montana","?=C1","","no",NA,"Andrena cf morio","2021-04-08","2021-04-08 NA","Andrena cineraria","Andrena","cineraria","Andrenidae",1,97,2021,"Gorbea"
"8",8,"08/04/21","13:30:00","2",2,"Ranunculus ficaria","Eristalis sp.","","no",NA,"","2021-04-08","2021-04-08 NA","Eristalis sp.","Eristalis","sp.","Syrphidae",1,97,2021,"Gorbea"
"9",9,"08/04/21","13:30:00","2",2,"Bellis perennis","?=C1","","no",NA,"Andrena cf morio","2021-04-08","2021-04-08 NA","Andrena cineraria","Andrena","cineraria","Andrenidae",1,97,2021,"Gorbea"
"10",10,"08/04/21","16:00:00","2",3,"Helleborus viridis subsp. occidentalis","Apis mellifera","","no",NA,"","2021-04-08","2021-04-08 NA","Apis mellifera","Apis","mellifera","Apidae",1,97,2021,"Gorbea"
