Fecha;Bosque;Codigo planta;Especie planta;Numero flores;Ronda
11/04/2022;1;1;Hepatica nobilis;71;1
11/04/2022;1;2;Helleborus viridis;263;1
11/04/2022;1;3;Viola riviniana;3;1
11/04/2022;1;4;Taraxacum officinale;17;1
11/04/2022;1;5;Bellis perennis;76;1
11/04/2022;1;6;Potentilla esterilis;5;1
11/04/2022;1;7;Primula veris;5;1
11/04/2022;1;8;Ranunculus ficaria;54;1
11/04/2022;1;11;Hutchinsia alpina;430;1
11/04/2022;1;12;Primula elatior;31;1
11/04/2022;1;13;Chrysosplenium oppositifolium;50;1
12/04/2022;2;1;Hepatica nobilis;322;1
12/04/2022;2;2;Helleborus viridis;276;1
12/04/2022;2;3;Viola riviniana;5;1
12/04/2022;2;4;Taraxacum officinale;5;1
12/04/2022;2;5;Bellis perennis;19;1
12/04/2022;2;6;Potentilla esterilis;24;1
12/04/2022;2;8;Ranunculus ficaria;10;1
12/04/2022;2;9;Oxalis acetosella;14;1
12/04/2022;2;14;Anemone nemorosa;14;1
13/04/2022;4;3;Viola riviniana;4;1
13/04/2022;4;4;Taraxacum officinale;14;1
13/04/2022;4;5;Bellis perennis;15;1
13/04/2022;4;16;Erythronium dens-canis;10;1
13/04/2022;4;17;Ranunculus sp.;1;1
22/04/2022;5;3;Viola riviniana;4;1
22/04/2022;5;4;Taraxacum officinale;1;1
22/04/2022;5;5;Bellis perennis;2;1
22/04/2022;5;18;Scilla verna;39;1
22/04/2022;5;19;Pedicularis sylvatica;7;1
22/04/2022;5;20;Polygala vulgaris;5;1
25/04/2022;3;1;Hepatica nobilis;1;1
25/04/2022;3;2;Helleborus viridis;29;1
25/04/2022;3;3;Viola riviniana;35;1
25/04/2022;3;4;Taraxacum officinale;9;1
25/04/2022;3;5;Bellis perennis;86;1
25/04/2022;3;15;Potentilla erecta;76;1
25/04/2022;3;17;Ranunculus sp.;1;1
25/04/2022;3;18;Scilla verna;478;1
25/04/2022;3;19;Pedicularis sylvatica;2;1
25/04/2022;3;20;Polygala vulgaris;985;1
25/04/2022;3;21;Potentilla montana;68;1
25/04/2022;3;22;Lathyrus linifolius;102;1
25/04/2022;3;23;Genista hispanica;103;1
25/04/2022;3;24;Hippocrepis comosa;107;1
26/04/2022;1;1;Hepatica nobilis;20;2
26/04/2022;1;2;Helleborus viridis;464;2
26/04/2022;1;3;Viola riviniana;216;2
26/04/2022;1;4;Taraxacum officinale;167;2
26/04/2022;1;5;Bellis perennis;767;2
26/04/2022;1;6;Potentilla esterilis;225;2
26/04/2022;1;7;Primula veris;14;2
26/04/2022;1;8;Ranunculus ficaria;274;2
26/04/2022;1;9;Oxalis acetosella;9;2
26/04/2022;1;11;Hutchinsia alpina;260;2
26/04/2022;1;12;Primula elatior;29;2
26/04/2022;1;13;Chrysosplenium oppositifolium;7;2
26/04/2022;1;25;Erysimum gorbeanum;21;2
26/04/2022;1;26;Stellaria sp.;7;2
26/04/2022;1;27;Geranium robertianum;1;2
26/04/2022;1;28;;78;2
29/04/2022;2;1;Hepatica nobilis;49;2
29/04/2022;2;2;Helleborus viridis;34;2
