"","Bosque","Codigo","Periodo","Dia","Transecto","Hora","Planta","Polinizador","Pollinator_id","Pollinator_genus","Pollinator_sps","Pollinator_family","Fecha2","julian"
"1","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Cistus ladanifer","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"2","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Cistus ladanifer","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"3","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"4","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"5","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"6","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"7","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"8","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Cistus salvifolius","Callophrys rubi","Callophrys rubi","Callophrys","rubi","Lepidoptera",2020-02-19,49
"9","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"10","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"11","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
"12","Pinar Puebla","PP",1,"19.2.2020",1,"10:15","Rosmarinus officinalis","apis mellifera","Apis mellifera","Apis","mellifera","Apidae",2020-02-19,49
