"","Fecha","Hora","Bosque","Periodo","Transecto","entrada","Planta","capturado","Codigo","Order","Pollinator_genus","Pollinator_sps","Pollinator_family","Pollinator_id","Fecha2","julian"
"1","09.03.2021","9:30","Pinar Aznalcazar",1,1,1,"Lavandula stoechas","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"2","09.03.2021","9:30","Pinar Aznalcazar",1,1,2,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"3","09.03.2021","9:30","Pinar Aznalcazar",1,1,3,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"4","09.03.2021","13:00","Pinar Aznalcazar",1,2,1,"Cistus salviifolius","no","","Hymenoptera","Lasioglossum","","Halictidae","Lasioglossum ",2021-03-09,67
"5","09.03.2021","13:00","Pinar Aznalcazar",1,2,2,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"6","09.03.2021","13:00","Pinar Aznalcazar",1,2,3,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"7","09.03.2021","13:00","Pinar Aznalcazar",1,2,4,"Cistus salviifolius","AT1-01","","Hymenoptera","Lasioglossum","immunitum","Halictidae","Lasioglossum immunitum",2021-03-09,67
"8","09.03.2021","13:00","Pinar Aznalcazar",1,2,5,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"9","09.03.2021","13:00","Pinar Aznalcazar",1,2,6,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"10","09.03.2021","13:00","Pinar Aznalcazar",1,2,7,"Lavandula stoechas","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"11","09.03.2021","13:00","Pinar Aznalcazar",1,2,8,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"12","09.03.2021","13:00","Pinar Aznalcazar",1,2,9,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"13","09.03.2021","13:00","Pinar Aznalcazar",1,2,10,"Cistus salviifolius","no","","Coleoptera","Tropinota","squalida","Scarabaeidae","Tropinota squalida",2021-03-09,67
"14","09.03.2021","13:00","Pinar Aznalcazar",1,2,11,"Lavandula stoechas","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"15","09.03.2021","13:00","Pinar Aznalcazar",1,2,12,"Lavandula stoechas","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"16","09.03.2021","13:00","Pinar Aznalcazar",1,2,13,"Lavandula stoechas","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"17","09.03.2021","13:00","Pinar Aznalcazar",1,2,14,"Lavandula stoechas","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"18","09.03.2021","13:00","Pinar Aznalcazar",1,2,15,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"19","09.03.2021","13:00","Pinar Aznalcazar",1,2,16,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"20","09.03.2021","13:00","Pinar Aznalcazar",1,2,17,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"21","09.03.2021","13:00","Pinar Aznalcazar",1,2,18,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"22","09.03.2021","13:00","Pinar Aznalcazar",1,2,19,"Cistus salviifolius","AT1-02","","Hymenoptera","Lasioglossum","immunitum","Halictidae","Lasioglossum immunitum",2021-03-09,67
"23","09.03.2021","13:00","Pinar Aznalcazar",1,2,20,"Cistus salviifolius","idem AT1-02","","Hymenoptera","","",""," ",2021-03-09,67
"24","09.03.2021","13:00","Pinar Aznalcazar",1,2,21,"Cistus salviifolius","no","","Coleoptera","Psilothrix","viridicoerulea","Melyridae","Psilothrix viridicoerulea",2021-03-09,67
"25","09.03.2021","16:00","Pinar Aznalcazar",1,3,1,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"26","09.03.2021","16:00","Pinar Aznalcazar",1,3,2,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"27","09.03.2021","16:00","Pinar Aznalcazar",1,3,3,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"28","09.03.2021","16:00","Pinar Aznalcazar",1,3,4,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"29","09.03.2021","16:00","Pinar Aznalcazar",1,3,5,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"30","09.03.2021","16:00","Pinar Aznalcazar",1,3,6,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"31","09.03.2021","16:00","Pinar Aznalcazar",1,3,7,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
"32","09.03.2021","16:00","Pinar Aznalcazar",1,3,8,"Rosmarinus officinalis","no","","Hymenoptera","Apis","mellifera","Apidae","Apis mellifera",2021-03-09,67
