"","Fecha","Hora","Bosque","Transecto..1.2.3.","Planta","Polinizador","sexo","capturado.","Codigo_frasco","Observaciones","Ronda","b","Polinizador_curro","Pollinator_genus","Pollinator_family"
"1",2022-04-11,"10:57:00",1,1,"Bellis perennis","","","si",1,"20 km/h",1,"2022-04-11 1","","",NA
"4",2022-04-11,"13:55:00",1,2,"Taraxacum officinale","Bombus pascuorum","","no",NA,"",1,"2022-04-11 NA","Bombus pascuorum","Bombus","Apidae"
"6",2022-04-11,"15:50:00",1,3,"Potentilla sterilis","","","si",2,"",1,"2022-04-11 2","Eupeodes corollae","Eupeodes","Syrphidae"
"7",2022-04-11,"16:07:00",1,3,"Taraxacum officinale","Bombus pascuorum","","no",NA,"",1,"2022-04-11 NA","Bombus pascuorum","Bombus","Apidae"
"10",2022-04-12,"11:40:00",2,1,"Helleborus viridis","Bombus terrestris","","no",NA,"reina",1,"2022-04-12 NA","Bombus terrestris","Bombus","Apidae"
"11",2022-04-12,"13:23:00",2,2,"Potentilla sterilis","Apis mellifera","","no",NA,"sol, poco viento",1,"2022-04-12 NA","Apis mellifera","Apis","Apidae"
"12",2022-04-12,"13:46:00",2,2,"Potentilla sterilis","Bombus terrestris","","no",NA,"reina",1,"2022-04-12 NA","Bombus terrestris","Bombus","Apidae"
"13",2022-04-12,"14:04:00",2,2,"Helleborus viridis","Apis mellifera","","no",NA,"",1,"2022-04-12 NA","Apis mellifera","Apis","Apidae"
"14",2022-04-12,"14:06:00",2,2,"Ranunculus ficaria","","","si",3,"",1,"2022-04-12 3","","",NA
"15",2022-04-12,"15:18:00",2,3,"Helleborus viridis","Bombus terrestris","","no",NA,"",1,"2022-04-12 NA","Bombus terrestris","Bombus","Apidae"
"16",2022-04-12,"15:22:00",2,3,"Helleborus viridis","Apis mellifera","","no",NA,"",1,"2022-04-12 NA","Apis mellifera","Apis","Apidae"
"18",2022-04-12,"15:47:00",2,3,"Hepatica nobilis","Bombus terrestris","","no",NA,"reina",1,"2022-04-12 NA","Bombus terrestris","Bombus","Apidae"
"19",2022-04-12,"15:50:00",2,3,"Helleborus viridis","Bombus terrestris","","no",NA,"reina",1,"2022-04-12 NA","Bombus terrestris","Bombus","Apidae"
