Fecha;Punto;Numero ID;Species ID;Sexo;Order;Planta;;Observations
29/4/22;2;28;Scaeva pyrastri;M;Diptera;Bellis perennis;;
31/5/22;3;90;Scaeva pyrastri;F;Diptera;Helianthenum;;
6/6/22;4;102;Scaeva pyrastri;F;Diptera;Taraxacum;;
2/6/22;1;100;Syrphus sp.;F;Diptera;Ranunculus;;
29/4/22;2;26;Cheilosia velutina;M;Diptera;Taraxacum;;
29/4/22;2;29;Cheilosia velutina;M;Diptera;Taraxacum;;
1/6/22;2;95;Cheilosia nigripes;M;Diptera;Myosotis;;
16/5/22;5;58;Cheilosia nigripes;F;Diptera;Ranunculus;;
1/6/22;2;96;Cheilosia nigripes;M;Diptera;Ranunculus;;
25/4/22;3;10;Platycheirus albimanus;F;Diptera;Scilla verna;;
10/5/22;2;49;Platycheirus albimanus;M;Diptera;Taraxacum;;
11/5/22;1;53;Platycheirus albimanus;M;Diptera;Taraxacum;;
9/6/22;5;108;Platycheirus albimanus;M;Diptera;Daboecia;;
1/6/22;2;97;Platycheirus albimanus;M;Diptera;Myosotis;;
18/5/22;3;68;Melangyna sp.;F;Diptera;Helianthenum;;
16/5/22;5;64;Merodon sp.;M;Diptera;Potentilla erecta;;
14/6/22;1;114;Eristalis arbustorum;M;Diptera;Bellis perennis;;
10/6/22;2;112;Episyrphus auricollis;M;Diptera;Ranunculus;;
29/4/22;2;30;Eupeodes corollae;M;Diptera;Hepatica;;
14/6/22;1;116;Syrphus sp.;F;Diptera;Bellis perennis;;
11/4/22;1;2;Eupeodes corollae;F;Diptera;Potentilla sterilis;;
13/4/22;4;4;Eupeodes corollae;M;Diptera;Bellis perennis;;
26/4/22;1;17;Eupeodes corollae;M;Diptera;Bellis perennis;;
16/5/22;5;60;Eupeodes corollae;F;Diptera;Scilla verna;;
25/4/22;3;6;Eupeodes corollae;F;Diptera;Bellis perennis;;
20/5/22;4;79;Eupeodes corollae;F;Diptera;Potentilla erecta;;
2/6/22;1;99;Syrphidae;NA;Diptera;Bellis perennis;;
16/5/22;5;63;Anthophora agama;M;Hymenoptera;Pedicularis;;
9/5/22;5;42;Anthophora subterranea;F;Hymenoptera;Pedicularis;;
31/5/22;3;89;Apis melifera;F;Hymenoptera;Lotus corniculatus;;
19/5/22;1;75;Eucera nigrescens;F;Hymenoptera;Vicia pyrenaica;;
10/6/22;2;113;Nomada sheppardana;F;Hymenoptera;Veronica officinalis;;
17/6/22;5;122;Nomada elsei;F;Hymenoptera;Potentilla erecta;;
10/5/22;2;52;Calliphora vicina;F;Diptera;Bellis perennis;;
29/5/22;2;31;Calliphora vicina;M;Diptera;Potentilla sterilis;;
25/4/22;3;7;Calliphora vicina;M;Diptera;Scilla verna;;
20/5/22;4;78;Lucilia caesar;M;Diptera;Ranunculus;;
9/6/22;5;107;Oedemera sp.;F;Coleoptera;Scorzonera;;
25/4/22;3;14;Osmia caerulescens;M;Hymenoptera;Hipocrepis comosa;;
18/5/22;3;71;Osmia emarginata;F;Hymenoptera;Hipocrepis comosa;;
12/5/22;3;55;Osmia emarginata;F;Hymenoptera;Hipocrepis comosa;;
31/5/22;3;91;Osmia emarginata;F;Hymenoptera;Lotus corniculatus;;
16/6/22;4;121;Lasioglossum sexnotatum;F;Hymenoptera;Erica cinerea;;
30/4/22;4;36;Lasioglossum lativentre;F;Hymenoptera;Taraxacum;;
11/5/22;1;54;Lasioglossum immunitum;F;Hymenoptera;Helleborus;;
25/4/22;3;13;Halictus smaragdulus;F;Hymenoptera;Scilla verna;;
24/4/22;3;11;Halictus crenicornis;F;Hymenoptera;Scilla verna;;
16/5/22;5;61;Lasioglossum sp;F;Hymenoptera;potentilla erecta;;
18/5/22;3;72;Lasioglossum sp;F;Hymenoptera;Thymus;;
25/4/22;3;12;Andrena limata;NA;Hymenoptera;Scilla verna;;
1/6/22;2;94;Halictus confusus;NA;Hymenoptera;Bellis perennis;;
7/5/22;4;39;Lasioglossum pauxillum;F;Hymenoptera;Taraxacum;;
9/5/22;5;44;Lasioglossum sp;F;Hymenoptera;Potentilla erecta;;
30/5/22;5;80;Lasioglossum sp;F;Hymenoptera;Scorzonera;;
30/4/22;4;34;Lasioglossum leucopus;F;Hymenoptera;Scilla verna;;
21/6/22;3;123;Halictus sp;NA;Hymenoptera;Taraxacum sp;;
30/5/22;5;81;Halictus sp;F;Hymenoptera;Scorzonera;;
16/5/22;5;59;Andrena propinqua;F;Hymenoptera;Daboecia sp;;
9/5/22;3;45;Andrena nigroaenea;M;Hymenoptera;Scilla verna;;
29/4/22;2;22;Andrena minutula;F;Hymenoptera;Taraxacum officinale;;
10/6/22;2;110;Andrena minutula;F;Hymenoptera;Potentilla erecta;;
26/4/22;1;20;Andrena propinqua;F;Hymenoptera;Helleborus sp;;
30/4/22;4;33;Andrena nigroaenea;NA;Hymenoptera;Vaccinium myrtillus;;
9/5/22;5;41;Andrena nigroaenea;F;Hymenoptera;Scilla verna;;
30/5/22;5;85;Andrena limata;F;Hymenoptera;Scorzonera;;
29/4/22;2;24;Andrena nigroaenea;Na;Hymenoptera;Taraxacum officinale;;
15/5/22;1;74;Andrena cineraria;F;Hymenoptera;Taraxacum;;
10/5/22;2;47;Andrena cineraria;F;Hymenoptera;Taraxacum;;
14/6/22;1;115;Andrena ovatula;F;Hymenoptera;Trifolium pratense;;
31/5/22;3;93;Andrena ovatula;F;Hymenoptera;Lotus corniculatus;;
10/6/22;2;110;Andrena ovatula;F;Hymenoptera;Lotus sp;;There is an other 110. This one is rather I10 ?
16/6/22;4;119;Andrena ovatula;F;Hymenoptera;Erica cinerea;;
1/6/22;2;98;Andrena sp;F;Hymenoptera;Potentilla erecta;;
7/5/22;4;40;Andrena sp;F;Hymenoptera;Taraxacum;;
6/6/22;4;103;Andrena sp;F;Hymenoptera;Potentilla erecta;;
16/5/22;5;62;Andrena sp;M;Hymenoptera;Scorzonera;;
30/5/22;5;84;Andrena cineraria;F;Hymenoptera;Scorzonera;;
13/5/22;4;57;Andrena cineraria;F;Hymenoptera;Taraxacum;;
19/5/22;1;73;Andrena cineraria;F;Hymenoptera;Taraxacum;;
29/4/22;2;23;Andrena nigroaenea;F;Hymenoptera;Taraxacum officinale;;
14/6/22;1;117;Andrena propinqua;F;Hymenoptera;Geranium robertianum;;
2/6/22;1;101;Andrena propinqua;F;Hymenoptera;Medicago sp;;
17/5/22;2;66;Andrena propinqua;F;Hymenoptera;Ranunculus sp;;
29/4/22;2;27;Bombus sylvestris;F;Hymenoptera;Taraxacum officinale;;
9/6/22;5;105;Bombus sylvarum;F;Hymenoptera;Daboecia sp;;
12/5/22;3;56;Bombus ruderarius;F;Hymenoptera;Lathyrus sp;;
22/4/22;5;5;Bombus ruderarius;F;Hymenoptera;Pedicularis sylvatica;;
25/4/22;3;8;Bombus ruderarius;F;Hymenoptera;Lathyrus linifolius;;
26/4/22;1;15;Bombus ruderarius;F;Hymenoptera;Viola riviniana;;
9/6/22;5;106;Bombus sylvarum;F;Hymenoptera;Daboecia sp;;
26/4/22;1;19;Bombus soroeensis;F;Hymenoptera;Helleborus viridis;;
5/5/22;1;37;Bombus soroeensis;F;Hymenoptera;Helleborus sp;;
26/4/22;1;18;Bombus soroeensis;F;Hymenoptera;Helleborus viridis;;
30/5/22;5;86;Bombus lucorum;F;Hymenoptera;Scorzonera;;
9/5/22;5;46;Bombus sylvarum;F;Hymenoptera;Pedicularis sp;;
10/5/22;2;48;Bombus lapidarius;F;Hymenoptera;Viola riviniana;;
9/5/22;5;43;Bombus sylvarum;F;Hymenoptera;Pedicularis sp;;
17/5/22;2;67;Psithyrus quadricolor;M;Hymenoptera;Cardamine sp;;
16/6/22;4;120;Bombus lucorum;M;Hymenoptera;Erica cinerea;;
29/4/22;2;25;Bombus lucorum;M;Hymenoptera;Helleborus sp;;
30/5/22;5;88;Bombus sp;F;Hymenoptera;Daboecia sp;;
30/5/22;5;87;Bombus hortorum;F;Hymenoptera;Scorzonera;;
10/6/22;2;50;Bombus hortorum;F;Hymenoptera;Taraxacum;;
