"","Site","Year","Bosque","Periodo","Planta","fruit_set","id_planta","X","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"1","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",0.75,"3,06",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"2","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"3,09",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"3","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"4,04",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"4","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"4,09",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"5","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"6,04",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"6","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"6,07",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"7","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"6,10",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"8","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"7,02",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"9","Doñana",2021,"Pinar Aznalcazar",2,"Cistus salviifolius",1,"9,03",120,1,0.0517241379310345,0.778871148095346,2.14270438725973,"Doñana_2021_Pinar Aznalcazar_2",18,10,3
"10","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"3,06",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"11","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"3,08",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"12","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"3,09",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"13","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"4,09",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"14","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,01",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"15","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,03",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"16","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,04",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"17","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"6,07",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"18","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"8,03",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"19","Doñana",2021,"Pinar Aznalcazar",3,"Cistus salviifolius",1,"8,10",123,0.692307692307692,0.230769230769231,0.589914951040399,-0.849839392958666,"Doñana_2021_Pinar Aznalcazar_3",32,13,3
"20","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"2,07",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"21","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"3,08",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"22","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"4,10",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"23","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"6,01",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"24","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.4,"6,04",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"25","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.6,"6,07",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"26","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"6,10",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"27","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.8,"8,03",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"28","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",0.6,"8,10",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"29","Doñana",2021,"Pinar Aznalcazar",4,"Cistus salviifolius",1,"9,03",127,0.555555555555556,0.290909090909091,0.385281867234438,0.996086943666815,"Doñana_2021_Pinar Aznalcazar_4",10,9,5
"30","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"(1,01)1",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"31","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"(1,01)2",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"32","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"1,02",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"33","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.4,"1,09",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"34","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"2,06",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"35","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.5,"4,07",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"36","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"5,07",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"37","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"6,02",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"38","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"6,07",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"39","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"7,03",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"40","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"7,06",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"41","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0,"7,07",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"42","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.5,"8,06",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"43","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"8,07",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"44","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",0.666666666666667,"8,08",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"45","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,02",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"46","Doñana",2021,"Pinar Aznalcazar",5,"Cistus crispus",1,"9,06",132,0.3125,0.185185185185185,0.687978103485236,0.368998448008325,"Doñana_2021_Pinar Aznalcazar_5",7,16,7
"47","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0.2,"1,07",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"48","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",0,"1,10",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"49","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"2,07",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"50","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,06",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
"51","Doñana",2021,"Pinar Aznalcazar",5,"Cistus salviifolius",1,"3,07",133,0.375,0.2,0.502713688725326,1.02425135123181,"Doñana_2021_Pinar Aznalcazar_5",8,16,7
