"","X.x","Planta","Periodo","Bosque","Year","Site","Semillas_viables","scaled_seeds","id_planta","X.y","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"1",1,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",1,-1.64520896554946,"8,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",4,-1.46048854941541,"8,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Cistus crispus",7,"Pinar Puebla",2021,"Doñana",1,-1.64520896554946,"8,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",0,-1.70678243759414,"8,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",0,-1.70678243759414,"9,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",1,-1.64520896554946,"9,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",11,-1.02947424510263,"9,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Cistus crispus",8,"Pinar Puebla",2021,"Doñana",9,-1.152621189192,"9,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",23,-0.290592580566435,"9,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",3,-1.52206202146009,"9,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"Cistus crispus",8,"Pinar Puebla",2021,"Doñana",11,-1.02947424510263,"9,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"Cistus crispus",7,"Pinar Puebla",2021,"Doñana",2,-1.58363549350478,"10,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Cistus crispus",8,"Pinar Puebla",2021,"Doñana",5,-1.39891507737073,"10,06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",0,-1.70678243759414,"10,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",0,-1.70678243759414,"10,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",0,-1.70678243759414,"10,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"Cistus crispus",6,"Pinar Puebla",2021,"Doñana",1,-1.64520896554946,"10,07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",46,0.551667950880226,"1,02",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"19",19,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",29,-0.496247674277597,"1,02",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"20",20,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",43,0.366741664087669,"2,04",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"21",21,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",44,0.428383759685188,"2,04",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"22",22,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",48,0.674952142075264,"2,04",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"23",23,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",50,0.798236333270302,"2,04",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"24",24,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",6,-1.91401587302053,"2,10",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"25",25,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",18,-1.17431072585031,"2,10",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"26",26,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",11,-1.60580539503294,"2,10",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"27",27,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",24,-0.804458152265191,"2,10",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"28",28,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",8,-1.79073168182549,"2,10",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"29",29,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",23,-0.86610024786271,"2,10",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"30",30,"Cistus salviifolius",5,"Pinar Puebla",2021,"Doñana",8,-1.79073168182549,"2,10",215,0.2,0.0716774514683922,0.41495466090163,0.918480580069181,"Doñana_2021_Pinar Puebla_5",2,10,7
"31",31,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",43,0.366741664087669,"3,06",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"32",32,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",51,0.85987842886782,"3,06",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"33",33,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",49,0.736594237672783,"3,06",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"34",34,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",45,0.490025855282707,"3,06",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"35",35,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",40,0.181815377295112,"3,06",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"36",36,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",40,0.181815377295112,"3,06",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"37",37,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",0,-2.28386844660565,"3,06",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"38",38,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",44,0.428383759685188,"3,06",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"39",39,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",26,-0.681173961070153,"3,06",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"40",40,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",4,-2.03730006421557,"3,06",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"41",41,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",33,-0.249679291887521,"3,06",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"42",42,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",44,0.428383759685188,"3,06",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"43",43,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",33,-0.249679291887521,"3,10",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"44",44,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",28,-0.557889769875116,"3,10",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"45",45,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",41,0.243457472892631,"3,10",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"46",46,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",49,0.736594237672783,"3,10",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"47",47,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",47,0.613310046477745,"3,10",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"48",48,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",36,-0.0647530050949639,"3,10",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"49",49,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",0,-2.28386844660565,"3,10",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"50",50,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",31,-0.372963483082559,"3,10",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"51",51,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",2,-2.16058425541061,"4,06",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"52",52,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",10,-1.66744749063046,"4,06",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"53",53,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",25,-0.742816056667672,"5,01",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"54",54,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",35,-0.126395100692483,"5,01",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"55",55,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",34,-0.188037196290002,"5,07",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"56",56,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",37,-0.00311090949744495,"5,07",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"57",57,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",27,-0.619531865472635,"(6,01)1",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"58",58,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",41,0.243457472892631,"(6,01)1",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"59",59,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",36,-0.0647530050949639,"(6,01)1",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"60",60,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",40,0.181815377295112,"(6,01)1",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"61",61,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",38,0.058531186100074,"(6,01)1",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"62",62,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",12,-1.54416329943542,"(6,01)1",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"63",63,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",37,-0.00311090949744495,"(6,01)1",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"64",64,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",44,0.428383759685188,"(6,01)1",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"65",65,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",49,0.736594237672783,"(6,01)1",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"66",66,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",36,-0.0647530050949639,"(6,01)1",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"67",67,"Cistus salviifolius",4,"Pinar Puebla",2021,"Doñana",5,-1.97565796861805,"(6,01)1",208,0.461538461538462,0.0851063829787234,0.206458680736161,1.63971057429289,"Doñana_2021_Pinar Puebla_4",10,13,6
"68",68,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",31,-0.372963483082559,"(6,01)2",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"69",69,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",31,-0.372963483082559,"(6,01)2",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"70",70,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",22,-0.927742343460229,"(6,01)2",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"71",71,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",44,0.428383759685188,"(6,01)2",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"72",72,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",19,-1.11266863025279,"(6,01)2",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"73",73,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",36,-0.0647530050949639,"(6,01)2",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"74",74,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",19,-1.11266863025279,"(6,01)2",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"75",75,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",35,-0.126395100692483,"(6,01)2",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"76",76,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",35,-0.126395100692483,"(6,01)2",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
"77",77,"Cistus salviifolius",5,"Pinar Puebla",2021,"Doñana",34,-0.188037196290002,"(6,01)2",215,0.2,0.0716774514683922,0.41495466090163,0.918480580069181,"Doñana_2021_Pinar Puebla_5",2,10,7
"78",78,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",49,0.736594237672783,"6,02",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"79",79,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",48,0.674952142075264,"6,02",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"80",80,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",51,0.85987842886782,"6,02",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"81",81,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",47,0.613310046477745,"6,02",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"82",82,"Cistus salviifolius",1,"Pinar Puebla",2021,"Doñana",52,0.921520524465339,"6,02",192,0.846153846153846,0.296122209165687,0.225276979091847,1.91315049494215,"Doñana_2021_Pinar Puebla_1",46,13,6
"83",83,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",33,-0.249679291887521,"6,02",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"84",84,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",37,-0.00311090949744495,"6,02",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"85",85,"Cistus salviifolius",2,"Pinar Puebla",2021,"Doñana",47,0.613310046477745,"6,02",198,0.722222222222222,0.509193776520509,0.142458794424601,1.39617010438685,"Doñana_2021_Pinar Puebla_2",23,18,6
"86",86,"Cistus salviifolius",3,"Pinar Puebla",2021,"Doñana",17,-1.23595282144782,"6,02",203,0.833333333333333,0.266666666666667,0.49090322642281,0.943428722658126,"Doñana_2021_Pinar Puebla_3",15,12,5
