"","Site","Year","Periodo","Planta","Bosque","fruit_set"
"1","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",0.75
"2","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"3","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"4","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"5","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"6","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"7","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"8","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"9","Doñana","2021","2","Cistus salviifolius","Pinar Aznalcazar",1
"10","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"11","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"12","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"13","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"14","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"15","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"16","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"17","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"18","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"19","Doñana","2021","3","Cistus salviifolius","Pinar Aznalcazar",1
"20","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",1
"21","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",1
"22","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",0.8
"23","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",1
"24","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",0.4
"25","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",0.6
"26","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",0.8
"27","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",0.8
"28","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",0.6
"29","Doñana","2021","4","Cistus salviifolius","Pinar Aznalcazar",1
"30","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"31","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"32","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"33","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",0.4
"34","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"35","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",0.5
"36","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"37","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"38","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"39","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"40","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"41","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",0
"42","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",0.5
"43","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"44","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",0.666666666666667
"45","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"46","Doñana","2021","5","Cistus crispus","Pinar Aznalcazar",1
"47","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",0.2
"48","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",0
"49","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"50","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"51","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"52","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"53","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"54","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"55","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"56","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",0
"57","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",0
"58","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"59","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"60","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",0
"61","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",0.5
"62","Doñana","2021","5","Cistus salviifolius","Pinar Aznalcazar",1
"63","Doñana","2021","5","Halimiun halimifolium","Pinar Aznalcazar",0.666666666666667
"64","Doñana","2021","5","Halimiun halimifolium","Pinar Aznalcazar",0.166666666666667
"65","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",0.5
"66","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",0.6
"67","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",1
"68","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",1
"69","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",0.6
"70","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",1
"71","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",1
"72","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",0.4
"73","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",0.6
"74","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",1
"75","Doñana","2021","6","Cistus crispus","Pinar Aznalcazar",0.75
"76","Doñana","2021","6","Halimiun halimifolium","Pinar Aznalcazar",0
"77","Doñana","2021","6","Halimiun halimifolium","Pinar Aznalcazar",0.7
"78","Doñana","2021","6","Halimiun halimifolium","Pinar Aznalcazar",0.466666666666667
"79","Doñana","2021","6","Halimiun halimifolium","Pinar Aznalcazar",0.5
"80","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",1
"81","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",0.8
"82","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",1
"83","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",1
"84","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",1
"85","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",1
"86","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",0.6
"87","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",0.6
"88","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",0.4
"89","Doñana","2021","7","Cistus crispus","Pinar Aznalcazar",0.8
"90","Doñana","2021","7","Halimiun halimifolium","Pinar Aznalcazar",1
"91","Doñana","2021","7","Halimiun halimifolium","Pinar Aznalcazar",0.6
"92","Doñana","2021","7","Halimiun halimifolium","Pinar Aznalcazar",0.6
"93","Doñana","2021","7","Halimiun halimifolium","Pinar Aznalcazar",0.6
"94","Doñana","2021","7","Halimiun halimifolium","Pinar Aznalcazar",0.6
"95","Doñana","2021","8","Cistus crispus","Pinar Aznalcazar",1
"96","Doñana","2021","8","Halimiun halimifolium","Pinar Aznalcazar",0.4
"97","Doñana","2021","8","Halimiun halimifolium","Pinar Aznalcazar",0.3
"98","Doñana","2021","8","Halimiun halimifolium","Pinar Aznalcazar",0.2
"99","Doñana","2021","8","Halimiun halimifolium","Pinar Aznalcazar",0.2
"100","Doñana","2021","8","Halimiun halimifolium","Pinar Aznalcazar",0.3
"101","Doñana","2021","1","Halimiun calycinum","Pinar Hinojos",1
"102","Doñana","2021","1","Halimiun calycinum","Pinar Hinojos",0.6
"103","Doñana","2021","1","Halimiun calycinum","Pinar Hinojos",1
"104","Doñana","2021","1","Halimiun calycinum","Pinar Hinojos",0.8
"105","Doñana","2021","1","Halimiun calycinum","Pinar Hinojos",0.8
"106","Doñana","2021","2","Halimiun calycinum","Pinar Hinojos",0.8
"107","Doñana","2021","2","Halimiun calycinum","Pinar Hinojos",0.333333333333333
"108","Doñana","2021","2","Halimiun calycinum","Pinar Hinojos",0.4
"109","Doñana","2021","2","Halimiun calycinum","Pinar Hinojos",1
"110","Doñana","2021","2","Halimiun calycinum","Pinar Hinojos",0.6
"111","Doñana","2021","2","Halimiun calycinum","Pinar Hinojos",0.8
"112","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.6
"113","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.333333333333333
"114","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",1
"115","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.4
"116","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.3
"117","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",1
"118","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.777777777777778
"119","Doñana","2021","3","Halimiun calycinum","Pinar Hinojos",0.666666666666667
"120","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0
"121","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0
"122","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.666666666666667
"123","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0
"124","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",1
"125","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.444444444444444
"126","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.333333333333333
"127","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.444444444444444
"128","Doñana","2021","4","Halimiun calycinum","Pinar Hinojos",0.555555555555556
"129","Doñana","2021","5","Cistus libanotis","Pinar Hinojos",1
"130","Doñana","2021","5","Cistus libanotis","Pinar Hinojos",1
"131","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",1
"132","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0
"133","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.333333333333333
"134","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.4
"135","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",1
"136","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.875
"137","Doñana","2021","5","Halimiun calycinum","Pinar Hinojos",0.857142857142857
"138","Doñana","2021","6","Cistus libanotis","Pinar Hinojos",0.454545454545455
"139","Doñana","2021","6","Cistus libanotis","Pinar Hinojos",0.465116279069767
"140","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",1
"141","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"142","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"143","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"144","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0.5
"145","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"146","Doñana","2021","6","Halimiun calycinum","Pinar Hinojos",0
"147","Doñana","2021","7","Cistus libanotis","Pinar Hinojos",1
"148","Doñana","2021","7","Cistus libanotis","Pinar Hinojos",0
"149","Doñana","2021","8",NA,"Pinar Hinojos",NA
"150","Doñana","2021","9",NA,"Pinar Hinojos",NA
"151","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",0.8
"152","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",1
"153","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",0.8
"154","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",1
"155","Doñana","2021","1","Cistus salviifolius","Pinar Puebla",1
"156","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.8
"157","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.8
"158","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"159","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"160","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"161","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.6
"162","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"163","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",0.8
"164","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"165","Doñana","2021","2","Cistus salviifolius","Pinar Puebla",1
"166","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.6
"167","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"168","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.6
"169","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"170","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"171","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"172","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"173","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"174","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",1
"175","Doñana","2021","3","Cistus salviifolius","Pinar Puebla",0.8
"176","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0.285714285714286
"177","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"178","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"179","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"180","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"181","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0.5
"182","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"183","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"184","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",1
"185","Doñana","2021","4","Cistus salviifolius","Pinar Puebla",0
"186","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",0.5
"187","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",0
"188","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",1
"189","Doñana","2021","5","Cistus salviifolius","Pinar Puebla",0
"190","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"191","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"192","Doñana","2021","6","Cistus crispus","Pinar Puebla",0.75
"193","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"194","Doñana","2021","6","Cistus crispus","Pinar Puebla",1
"195","Doñana","2021","7","Cistus crispus","Pinar Puebla",0.333333333333333
"196","Doñana","2021","7","Cistus crispus","Pinar Puebla",0
