"","Planta","Periodo","Bosque","Year","Site","Semillas_viables","scaled_seeds","id_planta"
"1","Cistus crispus",6,"Pinar Puebla","2021","Doñana",1,-1.64520896554946,"8,06"
"2","Cistus crispus",6,"Pinar Puebla","2021","Doñana",4,-1.46048854941541,"8,06"
"3","Cistus crispus",7,"Pinar Puebla","2021","Doñana",1,-1.64520896554946,"8,06"
"4","Cistus crispus",6,"Pinar Puebla","2021","Doñana",0,-1.70678243759414,"8,07"
"5","Cistus crispus",6,"Pinar Puebla","2021","Doñana",0,-1.70678243759414,"9,06"
"6","Cistus crispus",6,"Pinar Puebla","2021","Doñana",1,-1.64520896554946,"9,06"
"7","Cistus crispus",6,"Pinar Puebla","2021","Doñana",11,-1.02947424510263,"9,06"
"8","Cistus crispus",8,"Pinar Puebla","2021","Doñana",9,-1.152621189192,"9,06"
"9","Cistus crispus",6,"Pinar Puebla","2021","Doñana",23,-0.290592580566435,"9,07"
"10","Cistus crispus",6,"Pinar Puebla","2021","Doñana",3,-1.52206202146009,"9,07"
"11","Cistus crispus",8,"Pinar Puebla","2021","Doñana",11,-1.02947424510263,"9,07"
"12","Cistus crispus",7,"Pinar Puebla","2021","Doñana",2,-1.58363549350478,"10,06"
"13","Cistus crispus",8,"Pinar Puebla","2021","Doñana",5,-1.39891507737073,"10,06"
"14","Cistus crispus",6,"Pinar Puebla","2021","Doñana",0,-1.70678243759414,"10,07"
"15","Cistus crispus",6,"Pinar Puebla","2021","Doñana",0,-1.70678243759414,"10,07"
"16","Cistus crispus",6,"Pinar Puebla","2021","Doñana",0,-1.70678243759414,"10,07"
"17","Cistus crispus",6,"Pinar Puebla","2021","Doñana",1,-1.64520896554946,"10,07"
"18","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",46,0.551667950880226,"1,02"
"19","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",29,-0.496247674277597,"1,02"
"20","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",43,0.366741664087669,"2,04"
"21","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",44,0.428383759685188,"2,04"
"22","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",48,0.674952142075264,"2,04"
"23","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",50,0.798236333270302,"2,04"
"24","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",6,-1.91401587302053,"2,10"
"25","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",18,-1.17431072585031,"2,10"
"26","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",11,-1.60580539503294,"2,10"
"27","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",24,-0.804458152265191,"2,10"
"28","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",8,-1.79073168182549,"2,10"
"29","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",23,-0.86610024786271,"2,10"
"30","Cistus salviifolius",5,"Pinar Puebla","2021","Doñana",8,-1.79073168182549,"2,10"
"31","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",43,0.366741664087669,"3,06"
"32","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",51,0.85987842886782,"3,06"
"33","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",49,0.736594237672783,"3,06"
"34","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",45,0.490025855282707,"3,06"
"35","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",40,0.181815377295112,"3,06"
"36","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",40,0.181815377295112,"3,06"
"37","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",0,-2.28386844660565,"3,06"
"38","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",44,0.428383759685188,"3,06"
"39","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",26,-0.681173961070153,"3,06"
"40","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",4,-2.03730006421557,"3,06"
"41","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",33,-0.249679291887521,"3,06"
"42","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",44,0.428383759685188,"3,06"
"43","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",33,-0.249679291887521,"3,10"
"44","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",28,-0.557889769875116,"3,10"
"45","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",41,0.243457472892631,"3,10"
"46","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",49,0.736594237672783,"3,10"
"47","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",47,0.613310046477745,"3,10"
"48","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"3,10"
"49","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",0,-2.28386844660565,"3,10"
"50","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",31,-0.372963483082559,"3,10"
"51","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",2,-2.16058425541061,"4,06"
"52","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",10,-1.66744749063046,"4,06"
"53","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",25,-0.742816056667672,"5,01"
"54","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",35,-0.126395100692483,"5,01"
"55","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",34,-0.188037196290002,"5,07"
"56","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",37,-0.00311090949744495,"5,07"
"57","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",27,-0.619531865472635,"(6,01)1"
"58","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",41,0.243457472892631,"(6,01)1"
"59","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"(6,01)1"
"60","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",40,0.181815377295112,"(6,01)1"
"61","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",38,0.058531186100074,"(6,01)1"
"62","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",12,-1.54416329943542,"(6,01)1"
"63","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",37,-0.00311090949744495,"(6,01)1"
"64","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",44,0.428383759685188,"(6,01)1"
"65","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",49,0.736594237672783,"(6,01)1"
"66","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"(6,01)1"
"67","Cistus salviifolius",4,"Pinar Puebla","2021","Doñana",5,-1.97565796861805,"(6,01)1"
"68","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",31,-0.372963483082559,"(6,01)2"
"69","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",31,-0.372963483082559,"(6,01)2"
"70","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",22,-0.927742343460229,"(6,01)2"
"71","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",44,0.428383759685188,"(6,01)2"
"72","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",19,-1.11266863025279,"(6,01)2"
"73","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"(6,01)2"
"74","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",19,-1.11266863025279,"(6,01)2"
"75","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",35,-0.126395100692483,"(6,01)2"
"76","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",35,-0.126395100692483,"(6,01)2"
"77","Cistus salviifolius",5,"Pinar Puebla","2021","Doñana",34,-0.188037196290002,"(6,01)2"
"78","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",49,0.736594237672783,"6,02"
"79","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",48,0.674952142075264,"6,02"
"80","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",51,0.85987842886782,"6,02"
"81","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",47,0.613310046477745,"6,02"
"82","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",52,0.921520524465339,"6,02"
"83","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",33,-0.249679291887521,"6,02"
"84","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",37,-0.00311090949744495,"6,02"
"85","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",47,0.613310046477745,"6,02"
"86","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",17,-1.23595282144782,"6,02"
"87","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",21,-0.989384439057748,"6,02"
"88","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",2,-2.16058425541061,"6,02"
"89","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",32,-0.31132138748504,"6,02"
"90","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",43,0.366741664087669,"7,01"
"91","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",38,0.058531186100074,"7,01"
"92","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",35,-0.126395100692483,"7,01"
"93","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",31,-0.372963483082559,"7,01"
"94","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"7,01"
"95","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",45,0.490025855282707,"7,07"
"96","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",44,0.428383759685188,"7,07"
"97","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",42,0.30509956849015,"7,07"
"98","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",0,-2.28386844660565,"7,07"
"99","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",35,-0.126395100692483,"7,07"
"100","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",32,-0.31132138748504,"7,07"
"101","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",39,0.120173281697593,"7,07"
"102","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",28,-0.557889769875116,"7,07"
"103","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",35,-0.126395100692483,"7,07"
"104","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",32,-0.31132138748504,"7,07"
"105","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",29,-0.496247674277597,"7,07"
"106","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",12,-1.54416329943542,"7,07"
"107","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",28,-0.557889769875116,"7,07"
"108","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",39,0.120173281697593,"7,07"
"109","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"9,02"
"110","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",40,0.181815377295112,"9,02"
"111","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",45,0.490025855282707,"9,02"
"112","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",8,-1.79073168182549,"9,02"
"113","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",47,0.613310046477745,"9,04"
"114","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",54,1.04480471566038,"9,04"
"115","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",55,1.1064468112579,"9,04"
"116","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",38,0.058531186100074,"9,04"
"117","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",27,-0.619531865472635,"9,04"
"118","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",6,-1.91401587302053,"9,04"
"119","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",38,0.058531186100074,"9,04"
"120","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",44,0.428383759685188,"9,04"
"121","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",45,0.490025855282707,"9,04"
"122","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",26,-0.681173961070153,"9,04"
"123","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",37,-0.00311090949744495,"9,04"
"124","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",41,0.243457472892631,"9,04"
"125","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",33,-0.249679291887521,"9,04"
"126","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",5,-1.97565796861805,"9,04"
"127","Cistus salviifolius",3,"Pinar Puebla","2021","Doñana",40,0.181815377295112,"9,04"
"128","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",32,-0.31132138748504,"(9,10)1"
"129","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",45,0.490025855282707,"(9,10)1"
"130","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",47,0.613310046477745,"(9,10)1"
"131","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",43,0.366741664087669,"(9,10)1"
"132","Cistus salviifolius",1,"Pinar Puebla","2021","Doñana",52,0.921520524465339,"(9,10)1"
"133","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",38,0.058531186100074,"(9,10)2"
"134","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",34,-0.188037196290002,"(9,10)2"
"135","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"(9,10)2"
"136","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",36,-0.0647530050949639,"(9,10)2"
"137","Cistus salviifolius",2,"Pinar Puebla","2021","Doñana",33,-0.249679291887521,"(9,10)2"
