"Site","Year","Bosque","Periodo","Species","Degree","Specialization","Closeness","nestedcontribution"
"Doñana","2020","Pinar Puebla","1","Cistus ladanifer",0.111111111111111,0.0316831683168317,0,-0.0368405803935214
"Doñana","2020","Pinar Puebla","1","Cistus salvifolius",0.222222222222222,0,1,-1.42376843820762
"Doñana","2020","Pinar Puebla","1","Lavandula stoechas",0.111111111111111,0.0196972078160197,0.647389321559071,-0.129032570972123
"Doñana","2020","Pinar Puebla","1","Rosmarinus officinalis",0.777777777777778,0.151949888866438,0.410043723977943,0.788215686581174
"Doñana","2020","Pinar Puebla","2","Anemone palmata",0.222222222222222,0.0326933056564608,0.306573596382729,-0.374877035505509
"Doñana","2020","Pinar Puebla","2","Asphodelus fistulosus",0.111111111111111,0.0202182284980745,0.486229573179367,-0.0111675557952405
"Doñana","2020","Pinar Puebla","2","Cistus salvifolius",0.555555555555556,0.128048780487805,0.14581844978517,0.972225294097896
"Doñana","2020","Pinar Puebla","2","Lavandula stoechas",0.111111111111111,0,1,-1.17909983700388
"Doñana","2020","Pinar Puebla","2","Rosmarinus officinalis",0.555555555555556,0.352427836204968,0.386484142916166,0.73511506640195
"Doñana","2020","Pinar Puebla","3","Cistus crispus",0.2,0.0306377964354102,0.70607025209128,-0.436572930059258
"Doñana","2020","Pinar Puebla","3","Cistus ladanifer",0.266666666666667,0.111446482470397,0.0880191092749173,0.800844023551239
"Doñana","2020","Pinar Puebla","3","Cistus salvifolius",0.6,0.184826491797158,0.205205113338848,2.3458063963349
"Doñana","2020","Pinar Puebla","3","Echium plantagineum",0.133333333333333,0.0974124809741248,0.0835819922324895,-0.570785905503876
"Doñana","2020","Pinar Puebla","3","Genista hirsuta",0.0666666666666667,0.0306377964354102,0.340609326160269,0.0810933718190291
"Doñana","2020","Pinar Puebla","3","Lavandula stoechas",0.4,0.149776261422669,0.404108512050761,1.67035844324433
"Doñana","2020","Pinar Puebla","3","Leontodon hispidus",0.133333333333333,0.0547945205479452,0.0733285664199825,-0.466877313694867
"Doñana","2020","Pinar Puebla","3","Rosmarinus officinalis",0.333333333333333,0.216795711733174,0.247431990699768,1.15485937280214
"Doñana","2020","Pinar Puebla","4","Cistus crispus",0.166666666666667,0,1,-0.760262476381565
"Doñana","2020","Pinar Puebla","4","Cistus salvifolius",0.166666666666667,0,1,-0.660697343985708
"Doñana","2020","Pinar Puebla","4","Galactite tomentosa",0.5,1,0.725565459249965,0.493225584276437
"Doñana","2020","Pinar Puebla","4","Leontodon hispidus",0.333333333333333,1,0.698970004336019,0.313039563678822
"Doñana","2020","Pinar Puebla","5","Echium plantagineum",0.142857142857143,0.0588235294117647,0,0.281484456860453
"Doñana","2020","Pinar Puebla","5","Galactite tomentosa",0.428571428571429,0.144385026737968,0.561661053416109,-0.113845871584963
"Doñana","2020","Pinar Puebla","5","Lavandula stoechas",0.142857142857143,0.132352941176471,0.649149872836091,0.157178878398947
"Doñana","2020","Pinar Puebla","5","Leontodon hispidus",0.571428571428571,0.132352941176471,0.233749174145425,1.00146678965186
"Doñana","2020","Pinar Puebla","5","Tolpis barbata",0.285714285714286,0.0756302521008403,0.649149872836091,-0.116256558079164
"Doñana","2020","Pinar Puebla","6","Lavandula stoechas",0.666666666666667,0,1,-1.28005766237148
"Doñana","2020","Pinar Puebla","6","Malva hispanica",0.333333333333333,1,0,-1.00503781525921
"Doñana","2020","Pinar Puebla","6","Tuberaria guttata",0.333333333333333,1,0,-1.11237302078652
"Doñana","2020","Pinar Hinojos","1","Halimium commutatum",0.875,1.75,0.510086910923171,-0.0351783023692368
"Doñana","2020","Pinar Hinojos","1","Romulea bulbocodium",0.25,0.25,0.586088575743128,-1.93830357909491
"Doñana","2020","Pinar Hinojos","2","Anemone palmata",0.166666666666667,NA,1,-1.29322842979084
"Doñana","2020","Pinar Hinojos","2","Genista hirsuta",0.166666666666667,NA,1,-1.4193856369686
"Doñana","2020","Pinar Hinojos","2","Halimium calycinum",0.666666666666667,NA,1,-1.20464603190222
"Doñana","2020","Pinar Hinojos","3","Cistus albidus",0.125,0.375,0.226294385530917,-1.11242299847285
"Doñana","2020","Pinar Hinojos","3","Echium plantagineum",0.125,0,1,-1.77240593887806
"Doñana","2020","Pinar Hinojos","3","Halimium calycinum",0.125,0.375,0.226294385530917,-1.23197520383672
"Doñana","2020","Pinar Hinojos","3","Leontodon hispidus",0.875,0.75,0.44211410869774,0.145326979728335
"Doñana","2020","Pinar Hinojos","4","Anthemis arvensis",0.5,0.115384615384615,0.421572025768018,0.737805223620535
"Doñana","2020","Pinar Hinojos","4","Cistus libanotis",0.166666666666667,0.416666666666667,0.61670361567064,-0.0375120558346
"Doñana","2020","Pinar Hinojos","4","Cistus salvifolius",0.166666666666667,0.25,0.442344631008066,-0.0863825124635046
"Doñana","2020","Pinar Hinojos","4","Leontodon hispidus",1,0.120689655172414,0.527717770195824,1.66408355238208
"Doñana","2020","Pinar Hinojos","5","Anthemis arvensis",0.5,0.25,0.0518184480246397,1.18336169979429
"Doñana","2020","Pinar Hinojos","5","Leontodon hispidus",1,1.75,0.000949562010252182,0.671771896322885
"Doñana","2020","Pinar Hinojos","6","Anthemis arvensis",0.166666666666667,NA,NA,-1.5420325723603
"Doñana","2020","Pinar Hinojos","6","Leontodon hispidus",0.5,NA,NA,-1.16601905814235
"Doñana","2020","Pinar Hinojos","6","Muscari comosum",0.333333333333333,NA,NA,-1.55110571455741
