"Site_id","Year","Bosque","Periodo","Especies","norm_degree","weight_closeness","d"
"Doñana",2020,"Pinar Puebla",1,"Apis mellifera",0.25,0.0218068535825545,0
"Doñana",2020,"Pinar Puebla",1,"Callophrys rubi",0.5,1.02492211838006,0.173890468902509
"Doñana",2020,"Pinar Puebla",1,"Chalicodoma sicula",0.25,0,0.851664333294638
"Doñana",2020,"Pinar Puebla",1,"Syrphidae",0.25,0.0218068535825545,0
"Doñana",2020,"Pinar Puebla",1,"Zerynthia rumina",0.25,0.0109034267912773,0
"Doñana",2020,"Pinar Puebla",1,"Tropinota squalida",0.25,0.0109034267912773,0
"Doñana",2020,"Pinar Puebla",1,"Glaucopsyche alexis",0.25,0,0.851664333294638
"Doñana",2020,"Pinar Puebla",1,"Anthophora sp",0.5,0.043613707165109,0.141726392225123
"Doñana",2020,"Pinar Puebla",1,"Xylocopa cantabrita",0.25,0.0327102803738318,0
"Doñana",2020,"Pinar Hinojos",1,"Apis mellifera",0.5,0.0461215932914046,0
"Doñana",2020,"Pinar Hinojos",1,"Platycheirus  sp",0.5,0.0259433962264151,0
"Doñana",2020,"Pinar Hinojos",1,"Syrphidae",0.5,0.0259433962264151,0
"Doñana",2020,"Pinar Hinojos",1,"Diptera",1,0.111756168359942,0
"Doñana",2020,"Pinar Hinojos",1,"Platycheirus albimanus",0.5,0.0264150943396226,0.805040978106214
"Doñana",2020,"Pinar Hinojos",1,"Episyrphus balteatus",0.5,0.0622641509433962,0
"Doñana",2020,"Pinar Hinojos",1,"Dilophus sp",0.5,0.15166908563135,0.0833508146212496
"Doñana",2020,"Pinar Hinojos",1,"Lepidoptera",0.5,0.0461215932914046,0
"Doñana",2020,"Villamanrique Chaparral",1,"Apis mellifera",0.333333333333333,0.0213903743315508,0
"Doñana",2020,"Villamanrique Chaparral",1,"Xylocopa cantabrita",0.333333333333333,0.0245655080213904,0.543598023741692
"Doñana",2020,"Villamanrique Chaparral",1,"Pieris rapae",0.666666666666667,0.0839248672616895,0.216103076679934
"Doñana",2020,"Villamanrique Chaparral",1,"Anthophora sp",0.333333333333333,0.0213903743315508,0
"Doñana",2020,"Villamanrique Chaparral",1,"Diptera",0.333333333333333,0.0213903743315508,0
"Doñana",2020,"Villamanrique Chaparral",1,"Anthophora retusa",0.333333333333333,0.0148320048431036,0.803438367767177
"Doñana",2020,"Villamanrique Chaparral",1,"Zerynthia rumina",0.666666666666667,0.0423011438574614,0.00101329937324138
"Doñana",2020,"Villamanrique Chaparral",1,"Tropinota squalida",0.666666666666667,0.0275823247959471,0.59364424535402
"Doñana",2020,"Villamanrique Chaparral",1,"Syrphidae",0.333333333333333,0.0213903743315508,0
"Doñana",2020,"Pinar Puebla",2,"Apis mellifera",0.2,0.0306040268456376,0.48162704825076
"Doñana",2020,"Pinar Puebla",2,"Zerynthia rumina",0.2,0,1
"Doñana",2020,"Pinar Puebla",2,"Xylocopa cantabrita",0.6,0.256782551222736,0.196399476245743
"Doñana",2020,"Pinar Puebla",2,"Episyrphus balteatus",0.4,0.028483702107069,0.54885480411882
"Doñana",2020,"Pinar Puebla",2,"Eucera sp",0.2,0.0154054054054054,0.404063530193486
"Doñana",2020,"Pinar Puebla",2,"Andrena Trachandrena sp",0.2,0.0281192189105858,0
"Doñana",2020,"Pinar Puebla",2,"Anthophora sp",0.2,0.0147493261455526,0
"Doñana",2020,"Pinar Puebla",2,"Lasioglossum sp",0.6,0.0845749613601236,0.0633487744508737
"Doñana",2020,"Pinar Puebla",2,"Syrphidae",0.2,0.0147493261455526,0
"Doñana",2020,"Pinar Hinojos",2,"Dilophus sp",0.333333333333333,0,1
"Doñana",2020,"Pinar Hinojos",2,"Platycheirus  sp",0.333333333333333,0.571428571428571,0
"Doñana",2020,"Pinar Hinojos",2,"Episyrphus balteatus",0.333333333333333,0.380952380952381,0
"Doñana",2020,"Pinar Hinojos",2,"mosca gris puntos negros",0.333333333333333,0.19047619047619,0
"Doñana",2020,"Pinar Hinojos",2,"Tropinota squalida",0.333333333333333,0.19047619047619,0
"Doñana",2020,"Pinar Hinojos",2,"Apis mellifera",0.333333333333333,0,1
"Doñana",2020,"Villamanrique Chaparral",2,"Myathropa  florea",1,0.129429892141757,0.0621747283165739
"Doñana",2020,"Villamanrique Chaparral",2,"Apis mellifera",0.5,0.0338983050847458,0
"Doñana",2020,"Villamanrique Chaparral",2,"Coenonympha pamphilus",0.5,0.0338983050847458,0
