"","Site","Year","Fecha2","Hora","Bosque","Periodo","Transecto","Planta","Pollinator_id","Pollinator_genus","Pollinator_family","Order"
"1","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Cistus ladanifer","Apis mellifera","Apis","Apidae","Hymenoptera"
"2","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Cistus ladanifer","Apis mellifera","Apis","Apidae","Hymenoptera"
"3","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"4","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"5","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"6","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"7","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"8","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Cistus salvifolius","Callophrys rubi","Callophrys","Lepidoptera","Lepidoptera"
"9","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"10","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"11","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"12","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"13","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"14","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"15","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Apis mellifera","Apis","Apidae","Hymenoptera"
"16","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Chalicodoma sicula","Chalicodoma","Megachilidae","Hymenoptera"
"17","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Syrphidae","Syrphidae","Syrphidae","Diptera"
"18","Doñana",2020,"2020-02-19","10:15","Pinar Puebla",1,1,"Rosmarinus officinalis","Zerynthia rumina","Zerynthia","Lepidoptera","Lepidoptera"
