"","X.1","X","Fecha","Bosque","Especie.planta","Numero.flores","full.x","Periodo","full.y","full","Site","Year"
"1",1,1,"2020-04-23","1","Helleborus viridis subsp. occidentalis",393,1,1,NA,NA,"Gorbea",2020
"2",2,2,"2020-04-23","1","Primula veris",8,1,1,NA,NA,"Gorbea",2020
"3",3,3,"2020-04-23","1","Taraxacum sp.",747,1,1,NA,NA,"Gorbea",2020
"4",4,4,"2020-04-23","1","Bellis perennis",2993,1,1,NA,NA,"Gorbea",2020
"5",5,5,"2020-04-23","1","Pinguicula grandiflora subsp. Grandiflora",17,1,1,NA,NA,"Gorbea",2020
"6",6,6,"2020-04-23","1","Ranunculus sp.",13,1,1,NA,NA,"Gorbea",2020
"7",7,7,"2020-04-23","1","Hutchinsia alpina",NA,1,1,NA,NA,"Gorbea",2020
"8",8,8,"2020-04-23","1","Viola riviniana",296,1,1,NA,NA,"Gorbea",2020
"9",9,9,"2020-04-23","1","Scilla verna",15,1,1,NA,NA,"Gorbea",2020
"10",10,10,"2020-04-23","1","Veronica sp.",49,1,1,NA,NA,"Gorbea",2020
"11",11,11,"2020-04-28","5","Scilla verna",1496,1,1,NA,NA,"Gorbea",2020
"12",12,12,"2020-04-28","5","Pinguicula grandiflora subsp. Grandiflora",2,1,1,NA,NA,"Gorbea",2020
"13",13,13,"2020-04-28","5","Pedicularis sylvatica subsp. sylvatica",169,1,1,NA,NA,"Gorbea",2020
"14",14,14,"2020-04-28","5","Polygala vulgaris",74,1,1,NA,NA,"Gorbea",2020
"15",15,15,"2020-04-28","5","Erythronium dens-canis",1,1,1,NA,NA,"Gorbea",2020
"16",16,16,"2020-04-28","5","Potentilla erecta",96,1,1,NA,NA,"Gorbea",2020
"17",17,17,"2020-04-28","5","Taraxacum sp.",3,1,1,NA,NA,"Gorbea",2020
"18",18,18,"2020-04-28","5","Bellis perennis",3,1,1,NA,NA,"Gorbea",2020
"19",19,19,"2020-04-28","5","Ranunculus sp.",2,1,1,NA,NA,"Gorbea",2020
"20",20,20,"2020-04-28","5","Vaccinium myrtillus",28,1,1,NA,NA,"Gorbea",2020
"21",21,21,"2020-04-29","2","Taraxacum sp.",723,1,1,NA,NA,"Gorbea",2020
"22",22,22,"2020-04-29","2","Bellis perennis",3168,1,1,NA,NA,"Gorbea",2020
"23",23,23,"2020-04-29","2","Viola riviniana",61,1,1,NA,NA,"Gorbea",2020
"24",24,24,"2020-04-29","2","Cardamine pratensis",1,1,1,NA,NA,"Gorbea",2020
"25",25,25,"2020-04-29","2","Polygala vulgaris",4,1,1,NA,NA,"Gorbea",2020
"26",26,26,"2020-04-29","2","Ranunculus sp.",1,1,1,NA,NA,"Gorbea",2020
"27",27,27,"2020-04-29","2","Veronica sp.",8,1,1,NA,NA,"Gorbea",2020
"28",28,28,"2020-04-29","2","Hepatica nobilis",4,1,1,NA,NA,"Gorbea",2020
"29",29,29,"2020-04-29","1","Ranunculus sp.",16,1,2,NA,NA,"Gorbea",2020
"30",30,30,"2020-04-29","1","Viola riviniana",101,1,2,NA,NA,"Gorbea",2020
"31",31,31,"2020-04-29","1","Veronica persica",70,1,2,NA,NA,"Gorbea",2020
"32",32,32,"2020-04-29","1","Taraxacum sp.",833,1,2,NA,NA,"Gorbea",2020
"33",33,33,"2020-04-29","1","Pinguicula grandiflora subsp. Grandiflora",22,1,2,NA,NA,"Gorbea",2020
"34",34,34,"2020-04-29","1","Bellis perennis",5459,1,2,NA,NA,"Gorbea",2020
"35",35,35,"2020-04-29","1","Scilla verna",66,1,2,NA,NA,"Gorbea",2020
"36",36,36,"2020-04-29","1","Helleborus viridis subsp. occidentalis",4,1,2,NA,NA,"Gorbea",2020
