"","sampling_type","site","V6","values","ind"
"1","full","Doñana","2020",0.81,"Pollinators"
"2","per site","Doñana","2020",0.718305992175166,"Pollinators"
"3","per site","Doñana","2020",0.391640866873065,"Pollinators"
"4","per site","Doñana","2020",0.845836547695892,"Pollinators"
"5","per site","Doñana","2020",0.540864484231029,"Pollinators"
"6","per site","Doñana","2020",0.370027247956403,"Pollinators"
"7","per period","Doñana","2020",0.521831622613413,"Pollinators"
"8","per period","Doñana","2020",0.66449020592667,"Pollinators"
"9","per period","Doñana","2020",0.758273381294964,"Pollinators"
"10","per period","Doñana","2020",0.656772119193891,"Pollinators"
"11","per period","Doñana","2020",0.470359572400389,"Pollinators"
"12","per period","Doñana","2020",0.711388455538221,"Pollinators"
"13","full","Doñana","2021",0.77,"Pollinators"
"14","per site","Doñana","2021",0.805675342676729,"Pollinators"
"15","per site","Doñana","2021",0.400656754203319,"Pollinators"
"16","per site","Doñana","2021",0.583710980024811,"Pollinators"
"17","per site","Doñana","2021",0.803470363851685,"Pollinators"
"18","per site","Doñana","2021",0.74245332402722,"Pollinators"
"19","per period","Doñana","2021",0.609506885828521,"Pollinators"
"20","per period","Doñana","2021",0.540669575596298,"Pollinators"
"21","per period","Doñana","2021",0.648336907037909,"Pollinators"
"22","per period","Doñana","2021",0.562433800164764,"Pollinators"
"23","per period","Doñana","2021",0.787773532476554,"Pollinators"
"24","per period","Doñana","2021",0.775039001560062,"Pollinators"
"25","per period","Doñana","2021",0.642161204605846,"Pollinators"
"26","per period","Doñana","2021",0.586349534643226,"Pollinators"
"27","per period","Doñana","2021",0.3171552138395,"Pollinators"
"28","full","Gorbea","2020",0.66,"Pollinators"
"29","per site","Gorbea","2020",0.639410010281049,"Pollinators"
"30","per site","Gorbea","2020",0.655141527541132,"Pollinators"
"31","per site","Gorbea","2020",0.464943936074236,"Pollinators"
"32","per site","Gorbea","2020",0.42430566211447,"Pollinators"
"33","per site","Gorbea","2020",0.579124496714109,"Pollinators"
"34","per period","Gorbea","2020",0.649890590809628,"Pollinators"
"35","per period","Gorbea","2020",0.265822784810127,"Pollinators"
"36","per period","Gorbea","2020",0.215235792019347,"Pollinators"
"37","per period","Gorbea","2020",0.539069863828706,"Pollinators"
"38","per period","Gorbea","2020",0.217691776088459,"Pollinators"
"39","per period","Gorbea","2020",0.919796308084023,"Pollinators"
"40","per period","Gorbea","2020",0.471664548919949,"Pollinators"
"41","per period","Gorbea","2020",0.613969455569737,"Pollinators"
"42","full","Gorbea","2021",0.54,"Pollinators"
"43","per site","Gorbea","2021",0.609495982468955,"Pollinators"
"44","per site","Gorbea","2021",0.471599100397901,"Pollinators"
"45","per site","Gorbea","2021",0.683967220004203,"Pollinators"
"46","per site","Gorbea","2021",0.491456468673719,"Pollinators"
"47","per site","Gorbea","2021",0.806961148367788,"Pollinators"
"48","per period","Gorbea","2021",0.803347280334728,"Pollinators"
"49","per period","Gorbea","2021",0.602739726027397,"Pollinators"
"50","per period","Gorbea","2021",0.789506645327395,"Pollinators"
"51","per period","Gorbea","2021",0.186784397438385,"Pollinators"
"52","per period","Gorbea","2021",0.706520562184637,"Pollinators"
"53","per period","Gorbea","2021",0.381901840490798,"Pollinators"
"54","per period","Gorbea","2021",0.94075699396599,"Pollinators"
"55","full","Gorbea","2022",0.5,"Pollinators"
"56","per site","Gorbea","2022",0.390794223826715,"Pollinators"
"57","per site","Gorbea","2022",0.646312573338942,"Pollinators"
"58","per site","Gorbea","2022",0.772443275238408,"Pollinators"
"59","per site","Gorbea","2022",0.567820051145556,"Pollinators"
"60","per site","Gorbea","2022",0.715502555366269,"Pollinators"
"61","per period","Gorbea","2022",0.924499229583975,"Pollinators"
"62","per period","Gorbea","2022",0.581655762455964,"Pollinators"
"63","per period","Gorbea","2022",0.530776667740896,"Pollinators"
"64","per period","Gorbea","2022",0.485203028217481,"Pollinators"
"65","per period","Gorbea","2022",0.709255533199195,"Pollinators"
"66","per period","Gorbea","2022",0.757626037013401,"Pollinators"
"67","per period","Gorbea","2022",0.606662885068505,"Pollinators"
"68","full","Doñana","2020",0.87,"Plants"
"69","per site","Doñana","2020",0.844221105527638,"Plants"
"70","per site","Doñana","2020",0.626865671641791,"Plants"
"71","per site","Doñana","2020",0.837943649316475,"Plants"
"72","per site","Doñana","2020",0.559440559440559,"Plants"
"73","per site","Doñana","2020",1,"Plants"
"74","per period","Doñana","2020",0.896551724137931,"Plants"
"75","per period","Doñana","2020",0.837988826815642,"Plants"
"76","per period","Doñana","2020",0.609430519542879,"Plants"
"77","per period","Doñana","2020",0.984793627805938,"Plants"
"78","per period","Doñana","2020",0.678834324896642,"Plants"
