"","X","Site_id","Year","Bosque","Periodo","Planta","norm_degree","weight_closeness","d","match","tot.visits.pl","pl.mean.fs","se.pl.fs","pl.mean.sn","se.pl.sn"
"1",1,"Doñana",2020,"Pinar Puebla",1,"Cistus ladanifer",0.111111111111111,0.0316831683168317,0,"Doñana_2020_Pinar Puebla_1_Cistus ladanifer",2,NA,NA,NA,NA
"2",2,"Doñana",2020,"Pinar Puebla",1,"Rosmarinus officinalis",0.222222222222222,0,1,"Doñana_2020_Pinar Puebla_1_Rosmarinus officinalis",107,NA,NA,NA,NA
"3",3,"Doñana",2020,"Pinar Puebla",1,"Cistus salvifolius",0.111111111111111,0.0196972078160197,0.647389321559071,"Doñana_2020_Pinar Puebla_1_Cistus salvifolius",2,NA,NA,NA,NA
"4",4,"Doñana",2020,"Pinar Puebla",1,"Lavandula stoechas",0.777777777777778,0.151949888866438,0.410043723977943,"Doñana_2020_Pinar Puebla_1_Lavandula stoechas",1,NA,NA,NA,NA
"5",5,"Doñana",2020,"Pinar Hinojos",1,"Halimium commutatum",0.875,1.75,0,"Doñana_2020_Pinar Hinojos_1_Halimium commutatum",35,NA,NA,NA,NA
"6",6,"Doñana",2020,"Pinar Hinojos",1,"Romulea bulbocodium",0.25,0.25,1,"Doñana_2020_Pinar Hinojos_1_Romulea bulbocodium",2,NA,NA,NA,NA
"7",7,"Doñana",2020,"Pinar Hinojos",1,"Halimium commutatum",0.875,1.75,0.647389321559071,"Doñana_2020_Pinar Hinojos_1_Halimium commutatum",35,NA,NA,NA,NA
"8",8,"Doñana",2020,"Pinar Hinojos",1,"Romulea bulbocodium",0.25,0.25,0.410043723977943,"Doñana_2020_Pinar Hinojos_1_Romulea bulbocodium",2,NA,NA,NA,NA
"9",9,"Doñana",2020,"Villamanrique Chaparral",2,"Rosmarinus officinalis",0.375,0.133333333333333,0,"Doñana_2020_Villamanrique Chaparral_2_Rosmarinus officinalis",22,NA,NA,NA,NA
"10",10,"Doñana",2020,"Villamanrique Chaparral",2,"Asphodelus fistulosus",0.75,1.86666666666667,1,"Doñana_2020_Villamanrique Chaparral_2_Asphodelus fistulosus",4,NA,NA,NA,NA
"11",11,"Doñana",2020,"Villamanrique Chaparral",2,"Rosmarinus officinalis",0.375,0.133333333333333,0.647389321559071,"Doñana_2020_Villamanrique Chaparral_2_Rosmarinus officinalis",22,NA,NA,NA,NA
"12",12,"Doñana",2020,"Villamanrique Chaparral",2,"Asphodelus fistulosus",0.75,1.86666666666667,0.410043723977943,"Doñana_2020_Villamanrique Chaparral_2_Asphodelus fistulosus",4,NA,NA,NA,NA
"13",13,"Doñana",2020,"Villamanrique Sur",2,"Rosmarinus officinalis",0.333333333333333,NA,0,"Doñana_2020_Villamanrique Sur_2_Rosmarinus officinalis",11,NA,NA,NA,NA
