"","X","Site","Year","Bosque","Periodo","Planta","Degree","Specialization","Closeness","nestedcontribution","match","tot.visits.pl","poll.sp","plant.sp"
"1",1,"Doñana",2020,"Pinar Puebla",1,"Cistus ladanifer",0.111111111111111,0.0316831683168317,0,-0.0368405803935214,"Doñana_2020_Pinar Puebla_1",2,9,4
"2",2,"Doñana",2020,"Pinar Puebla",1,"Cistus salvifolius",0.222222222222222,0,1,-1.42376843820762,"Doñana_2020_Pinar Puebla_1",2,9,4
"3",3,"Doñana",2020,"Pinar Puebla",1,"Lavandula stoechas",0.111111111111111,0.0196972078160197,0.647389321559071,-0.129032570972123,"Doñana_2020_Pinar Puebla_1",1,9,4
"4",4,"Doñana",2020,"Pinar Puebla",1,"Rosmarinus officinalis",0.777777777777778,0.151949888866438,0.410043723977943,0.788215686581174,"Doñana_2020_Pinar Puebla_1",107,9,4
"5",5,"Doñana",2020,"Pinar Puebla",2,"Anemone palmata",0.222222222222222,0.0326933056564608,0.306573596382729,-0.374877035505509,"Doñana_2020_Pinar Puebla_2",2,9,5
"6",6,"Doñana",2020,"Pinar Puebla",2,"Asphodelus fistulosus",0.111111111111111,0.0202182284980745,0.486229573179367,-0.0111675557952405,"Doñana_2020_Pinar Puebla_2",1,9,5
"7",7,"Doñana",2020,"Pinar Puebla",2,"Cistus salvifolius",0.555555555555556,0.128048780487805,0.14581844978517,0.972225294097896,"Doñana_2020_Pinar Puebla_2",13,9,5
"8",8,"Doñana",2020,"Pinar Puebla",2,"Lavandula stoechas",0.111111111111111,0,1,-1.17909983700388,"Doñana_2020_Pinar Puebla_2",3,9,5
"9",9,"Doñana",2020,"Pinar Puebla",2,"Rosmarinus officinalis",0.555555555555556,0.352427836204968,0.386484142916166,0.73511506640195,"Doñana_2020_Pinar Puebla_2",74,9,5
"10",10,"Doñana",2020,"Pinar Puebla",3,"Cistus crispus",0.2,0.0306377964354102,0.70607025209128,-0.436572930059258,"Doñana_2020_Pinar Puebla_3",3,15,8
"11",11,"Doñana",2020,"Pinar Puebla",3,"Cistus ladanifer",0.266666666666667,0.111446482470397,0.0880191092749173,0.800844023551239,"Doñana_2020_Pinar Puebla_3",6,15,8
"12",12,"Doñana",2020,"Pinar Puebla",3,"Cistus salvifolius",0.6,0.184826491797158,0.205205113338848,2.3458063963349,"Doñana_2020_Pinar Puebla_3",21,15,8
"13",13,"Doñana",2020,"Pinar Puebla",3,"Echium plantagineum",0.133333333333333,0.0974124809741248,0.0835819922324895,-0.570785905503876,"Doñana_2020_Pinar Puebla_3",4,15,8
"14",14,"Doñana",2020,"Pinar Puebla",3,"Genista hirsuta",0.0666666666666667,0.0306377964354102,0.340609326160269,0.0810933718190291,"Doñana_2020_Pinar Puebla_3",1,15,8
"15",15,"Doñana",2020,"Pinar Puebla",3,"Lavandula stoechas",0.4,0.149776261422669,0.404108512050761,1.67035844324433,"Doñana_2020_Pinar Puebla_3",9,15,8
"16",16,"Doñana",2020,"Pinar Puebla",3,"Leontodon hispidus",0.133333333333333,0.0547945205479452,0.0733285664199825,-0.466877313694867,"Doñana_2020_Pinar Puebla_3",2,15,8
"17",17,"Doñana",2020,"Pinar Puebla",3,"Rosmarinus officinalis",0.333333333333333,0.216795711733174,0.247431990699768,1.15485937280214,"Doñana_2020_Pinar Puebla_3",16,15,8
"18",18,"Doñana",2020,"Pinar Puebla",4,"Cistus crispus",0.166666666666667,0,1,-0.760262476381565,"Doñana_2020_Pinar Puebla_4",1,6,4
"19",19,"Doñana",2020,"Pinar Puebla",4,"Cistus salvifolius",0.166666666666667,0,1,-0.660697343985708,"Doñana_2020_Pinar Puebla_4",5,6,4
"20",20,"Doñana",2020,"Pinar Puebla",4,"Galactite tomentosa",0.5,1,0.725565459249965,0.493225584276437,"Doñana_2020_Pinar Puebla_4",3,6,4
"21",21,"Doñana",2020,"Pinar Puebla",4,"Leontodon hispidus",0.333333333333333,1,0.698970004336019,0.313039563678822,"Doñana_2020_Pinar Puebla_4",2,6,4
"22",22,"Doñana",2020,"Pinar Puebla",5,"Echium plantagineum",0.142857142857143,0.0588235294117647,0,0.281484456860453,"Doñana_2020_Pinar Puebla_5",1,7,5
"23",23,"Doñana",2020,"Pinar Puebla",5,"Galactite tomentosa",0.428571428571429,0.144385026737968,0.561661053416109,-0.113845871584963,"Doñana_2020_Pinar Puebla_5",11,7,5
"24",24,"Doñana",2020,"Pinar Puebla",5,"Lavandula stoechas",0.142857142857143,0.132352941176471,0.649149872836091,0.157178878398947,"Doñana_2020_Pinar Puebla_5",2,7,5
"25",25,"Doñana",2020,"Pinar Puebla",5,"Leontodon hispidus",0.571428571428571,0.132352941176471,0.233749174145425,1.00146678965186,"Doñana_2020_Pinar Puebla_5",9,7,5
"26",26,"Doñana",2020,"Pinar Puebla",5,"Tolpis barbata",0.285714285714286,0.0756302521008403,0.649149872836091,-0.116256558079164,"Doñana_2020_Pinar Puebla_5",2,7,5
"27",27,"Doñana",2020,"Pinar Puebla",6,"Lavandula stoechas",0.666666666666667,0,1,-1.28005766237148,"Doñana_2020_Pinar Puebla_6",2,3,3
"28",28,"Doñana",2020,"Pinar Puebla",6,"Malva hispanica",0.333333333333333,1,0,-1.00503781525921,"Doñana_2020_Pinar Puebla_6",1,3,3
"29",29,"Doñana",2020,"Pinar Puebla",6,"Tuberaria guttata",0.333333333333333,1,0,-1.11237302078652,"Doñana_2020_Pinar Puebla_6",1,3,3
"30",30,"Doñana",2020,"Pinar Hinojos",1,"Halimium commutatum",0.875,1.75,0.510086910923171,-0.0351783023692368,"Doñana_2020_Pinar Hinojos_1",35,8,2
"31",31,"Doñana",2020,"Pinar Hinojos",1,"Romulea bulbocodium",0.25,0.25,0.586088575743128,-1.93830357909491,"Doñana_2020_Pinar Hinojos_1",2,8,2
"32",32,"Doñana",2020,"Pinar Hinojos",2,"Anemone palmata",0.166666666666667,NA,1,-1.29322842979084,"Doñana_2020_Pinar Hinojos_2",1,6,3
"33",33,"Doñana",2020,"Pinar Hinojos",2,"Genista hirsuta",0.166666666666667,NA,1,-1.4193856369686,"Doñana_2020_Pinar Hinojos_2",1,6,3
"34",34,"Doñana",2020,"Pinar Hinojos",2,"Halimium calycinum",0.666666666666667,NA,1,-1.20464603190222,"Doñana_2020_Pinar Hinojos_2",7,6,3
"35",35,"Doñana",2020,"Pinar Hinojos",3,"Cistus albidus",0.125,0.375,0.226294385530917,-1.11242299847285,"Doñana_2020_Pinar Hinojos_3",1,8,4
"36",36,"Doñana",2020,"Pinar Hinojos",3,"Echium plantagineum",0.125,0,1,-1.77240593887806,"Doñana_2020_Pinar Hinojos_3",1,8,4
"37",37,"Doñana",2020,"Pinar Hinojos",3,"Halimium calycinum",0.125,0.375,0.226294385530917,-1.23197520383672,"Doñana_2020_Pinar Hinojos_3",1,8,4
"38",38,"Doñana",2020,"Pinar Hinojos",3,"Leontodon hispidus",0.875,0.75,0.44211410869774,0.145326979728335,"Doñana_2020_Pinar Hinojos_3",14,8,4
"39",39,"Doñana",2020,"Pinar Hinojos",4,"Anthemis arvensis",0.5,0.115384615384615,0.421572025768018,0.737805223620535,"Doñana_2020_Pinar Hinojos_4",6,6,4
"40",40,"Doñana",2020,"Pinar Hinojos",4,"Cistus libanotis",0.166666666666667,0.416666666666667,0.61670361567064,-0.0375120558346,"Doñana_2020_Pinar Hinojos_4",5,6,4
"41",41,"Doñana",2020,"Pinar Hinojos",4,"Cistus salvifolius",0.166666666666667,0.25,0.442344631008066,-0.0863825124635046,"Doñana_2020_Pinar Hinojos_4",3,6,4
"42",42,"Doñana",2020,"Pinar Hinojos",4,"Leontodon hispidus",1,0.120689655172414,0.527717770195824,1.66408355238208,"Doñana_2020_Pinar Hinojos_4",20,6,4
"43",43,"Doñana",2020,"Pinar Hinojos",5,"Anthemis arvensis",0.5,0.25,0.0518184480246397,1.18336169979429,"Doñana_2020_Pinar Hinojos_5",3,NA,NA
"44",44,"Doñana",2020,"Pinar Hinojos",5,"Leontodon hispidus",1,1.75,0.000949562010252182,0.671771896322885,"Doñana_2020_Pinar Hinojos_5",26,NA,NA
"45",45,"Doñana",2020,"Pinar Hinojos",6,"Anthemis arvensis",0.166666666666667,NA,NA,-1.5420325723603,"Doñana_2020_Pinar Hinojos_6",1,6,3
"46",46,"Doñana",2020,"Pinar Hinojos",6,"Leontodon hispidus",0.5,NA,NA,-1.16601905814235,"Doñana_2020_Pinar Hinojos_6",3,6,3
"47",47,"Doñana",2020,"Pinar Hinojos",6,"Muscari comosum",0.333333333333333,NA,NA,-1.55110571455741,"Doñana_2020_Pinar Hinojos_6",2,6,3
"48",48,"Doñana",2020,"Villamanrique Chaparral",1,"Asphodelus fistulosus",0.444444444444444,0.0857142857142857,0.212963170635489,0.720179320869254,"Doñana_2020_Villamanrique Chaparral_1",5,9,3
"49",49,"Doñana",2020,"Villamanrique Chaparral",1,"Narcissus papyraceus",0.222222222222222,0.0489795918367347,0.872020987595092,-1.11091596605719,"Doñana_2020_Villamanrique Chaparral_1",2,9,3
"50",50,"Doñana",2020,"Villamanrique Chaparral",1,"Rosmarinus officinalis",0.666666666666667,0.107142857142857,0.555211867800157,0.172661739962871,"Doñana_2020_Villamanrique Chaparral_1",34,9,3
"51",51,"Doñana",2020,"Villamanrique Chaparral",2,"Asphodelus fistulosus",0.375,0.133333333333333,0.56424441280702,-0.89310532596931,"Doñana_2020_Villamanrique Chaparral_2",4,8,2
"52",52,"Doñana",2020,"Villamanrique Chaparral",2,"Rosmarinus officinalis",0.75,1.86666666666667,0.727206082537559,-0.726408808937958,"Doñana_2020_Villamanrique Chaparral_2",22,8,2
"53",53,"Doñana",2020,"Villamanrique Chaparral",3,"Anthemis arvensis",0.222222222222222,0.0495177190143627,0.515254983692734,-0.0755788734802109,"Doñana_2020_Villamanrique Chaparral_3",2,9,6
"54",54,"Doñana",2020,"Villamanrique Chaparral",3,"Cistus crispus",0.444444444444444,0.346408406779322,0.385838049799097,1.05956300309484,"Doñana_2020_Villamanrique Chaparral_3",22,9,6
"55",55,"Doñana",2020,"Villamanrique Chaparral",3,"Cistus salvifolius",0.444444444444444,0.269855721339746,0.70195643574669,0.707414495585682,"Doñana_2020_Villamanrique Chaparral_3",21,9,6
"56",56,"Doñana",2020,"Villamanrique Chaparral",3,"Echium plantagineum",0.444444444444444,0.122523654642224,0.424691425568198,1.04364182819076,"Doñana_2020_Villamanrique Chaparral_3",9,9,6
"57",57,"Doñana",2020,"Villamanrique Chaparral",3,"Leontodon hispidus",0.666666666666667,0.236942551930857,0.507198865098268,1.61100106620299,"Doñana_2020_Villamanrique Chaparral_3",16,9,6
"58",58,"Doñana",2020,"Villamanrique Chaparral",3,"Tuberaria guttata",0.111111111111111,0.0282711127220007,0,1.5353928183202,"Doñana_2020_Villamanrique Chaparral_3",1,9,6
"59",59,"Doñana",2020,"Villamanrique Chaparral",4,"Andryala integrifolia",0.2,0.112531969309463,0.65573611692278,0.334952329630687,"Doñana_2020_Villamanrique Chaparral_4",3,15,6
